@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/poker-8-9_vs_5/KBN3poker-8-9_vs_5-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute Class {' negative',' positive'}
@data
0,3.0,0.0,3.0,4.0,3.0,4.0,3.0,8.0,3.0,7.0,' negativ
1,2.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,8.0,' negativ
2,2.0,5.0,2.0,8.0,2.0,4.0,2.0,2.0,2.0,6.0,' negativ
3,2.0,7.0,2.0,0.0,2.0,3.0,2.0,8.0,2.0,1.0,' negativ
4,3.0,1.0,3.0,6.0,3.0,7.0,3.0,0.0,3.0,4.0,' negativ
5,2.0,6.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,9.0,' negativ
6,1.0,9.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,5.0,' negativ
7,0.0,3.0,0.0,5.0,0.0,9.0,0.0,9.0,0.0,0.0,' negativ
8,2.0,9.0,2.0,3.0,2.0,9.0,2.0,0.0,2.0,0.0,' negativ
9,1.0,7.0,1.0,9.0,1.0,8.0,1.0,2.0,1.0,9.0,' negativ
10,0.0,6.0,0.0,9.0,0.0,7.0,0.0,2.0,0.0,5.0,' negativ
11,3.0,3.0,3.0,6.0,3.0,0.0,3.0,8.0,3.0,7.0,' negativ
12,2.0,2.0,2.0,0.0,2.0,9.0,2.0,8.0,2.0,9.0,' negativ
13,2.0,9.0,2.0,8.0,2.0,6.0,2.0,1.0,2.0,4.0,' negativ
14,3.0,5.0,3.0,2.0,3.0,6.0,3.0,0.0,3.0,4.0,' negativ
15,3.0,3.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,9.0,' negativ
16,1.0,4.0,1.0,9.0,1.0,0.0,1.0,6.0,1.0,9.0,' negativ
