@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ1_arff/ecoli-0-2-6-7_vs_3-5/EFQ1ecoli-0-2-6-7_vs_3-5-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,' negativ
1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
3,0.0,0.0,0.0,0.0,0.0,1.0,2.0,' negativ
4,0.0,0.0,0.0,0.0,1.0,1.0,2.0,' negativ
5,1.0,1.0,0.0,0.0,2.0,0.0,0.0,' negativ
6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,' negativ
7,0.0,1.0,0.0,0.0,1.0,1.0,1.0,' negativ
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
9,0.0,1.0,0.0,0.0,0.0,2.0,2.0,' negativ
10,1.0,0.0,0.0,0.0,0.0,0.0,2.0,' negativ
11,0.0,1.0,0.0,0.0,1.0,0.0,2.0,' negativ
12,0.0,0.0,0.0,0.0,1.0,1.0,2.0,' negativ
13,1.0,0.0,0.0,0.0,0.0,1.0,2.0,' negativ
14,0.0,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
16,0.0,1.0,0.0,0.0,0.0,1.0,0.0,' negativ
17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,' negativ
18,1.0,0.0,0.0,0.0,1.0,1.0,2.0,' negativ
19,0.0,1.0,0.0,0.0,1.0,1.0,2.0,' negativ
20,0.0,0.0,0.0,0.0,1.0,1.0,2.0,' negativ
21,1.0,1.0,0.0,0.0,1.0,2.0,2.0,' negativ
22,2.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
23,2.0,2.0,0.0,0.0,2.0,2.0,1.0,' negativ
24,1.0,2.0,0.0,0.0,1.0,1.0,0.0,' negativ
25,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
26,1.0,2.0,0.0,0.0,0.0,0.0,2.0,' negativ
27,2.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
28,2.0,1.0,0.0,0.0,0.0,2.0,2.0,' negativ
29,0.0,2.0,0.0,0.0,1.0,2.0,2.0,' negativ
30,1.0,1.0,0.0,0.0,0.0,1.0,0.0,' negativ
31,1.0,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
32,2.0,2.0,0.0,0.0,0.0,0.0,1.0,' negativ
33,2.0,1.0,0.0,0.0,1.0,0.0,1.0,' negativ
34,1.0,2.0,0.0,0.0,1.0,1.0,0.0,' negativ
35,1.0,1.0,0.0,0.0,1.0,1.0,0.0,' negativ
36,0.0,1.0,0.0,0.0,1.0,2.0,2.0,' negativ
37,2.0,1.0,0.0,0.0,1.0,2.0,0.0,' negativ
38,1.0,0.0,0.0,0.0,1.0,1.0,2.0,' negativ
39,1.0,1.0,0.0,0.0,2.0,2.0,1.0,' positiv
40,1.0,2.0,0.0,0.0,2.0,1.0,2.0,' positiv
41,1.0,1.0,0.0,0.0,2.0,2.0,1.0,' positiv
42,2.0,2.0,0.0,0.0,2.0,1.0,1.0,' positiv
43,2.0,1.0,0.0,0.0,2.0,0.0,0.0,' positiv
44,2.0,1.0,0.0,0.0,0.0,2.0,0.0,' positiv
45,0.0,0.0,0.0,0.0,1.0,2.0,2.0,' positiv
46,2.0,2.0,0.0,0.0,2.0,0.0,1.0,' positiv
47,1.0,2.0,0.0,0.0,2.0,1.0,1.0,' positiv
48,2.0,2.0,0.0,0.0,2.0,0.0,0.0,' positiv
49,1.0,2.0,0.0,0.0,1.0,0.0,1.0,' positiv
50,2.0,2.0,0.0,0.0,2.0,2.0,1.0,' positiv
51,2.0,0.0,0.0,0.0,2.0,2.0,1.0,' positiv
52,2.0,2.0,0.0,0.0,2.0,2.0,1.0,' positiv
53,2.0,2.0,0.0,0.0,2.0,2.0,0.0,' positiv
54,2.0,1.0,0.0,0.0,2.0,2.0,0.0,' positiv
55,2.0,2.0,0.0,0.0,2.0,2.0,0.0,' positiv
56,2.0,2.0,0.0,0.0,2.0,2.0,0.0,' positiv
57,1.0,2.0,0.0,0.0,2.0,1.0,2.0,' positiv
58,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' positiv
59,0.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
60,2.0,1.0,0.0,0.0,2.0,1.0,0.0,' positiv
