@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ2_arff/ecoli3/EFQ1ecoli3-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,' negativ
1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,' negativ
3,2.0,2.0,0.0,0.0,1.0,1.0,2.0,' positiv
4,2.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
5,1.0,2.0,0.0,0.0,2.0,2.0,1.0,' negativ
6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
7,1.0,2.0,0.0,0.0,1.0,1.0,1.0,' negativ
8,0.0,1.0,0.0,0.0,2.0,2.0,2.0,' negativ
9,2.0,2.0,0.0,0.0,2.0,1.0,1.0,' negativ
10,2.0,1.0,0.0,0.0,1.0,2.0,2.0,' negativ
11,1.0,2.0,0.0,0.0,0.0,2.0,2.0,' negativ
12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,' negativ
14,1.0,2.0,0.0,0.0,2.0,1.0,0.0,' negativ
15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
16,1.0,1.0,0.0,0.0,0.0,2.0,2.0,' negativ
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
18,0.0,0.0,0.0,0.0,1.0,0.0,1.0,' negativ
19,2.0,1.0,0.0,0.0,2.0,2.0,2.0,' positiv
20,2.0,2.0,0.0,0.0,0.0,1.0,0.0,' negativ
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
22,2.0,1.0,0.0,0.0,1.0,1.0,1.0,' negativ
23,2.0,2.0,0.0,0.0,0.0,1.0,1.0,' negativ
24,1.0,1.0,0.0,0.0,2.0,1.0,1.0,' positiv
25,1.0,1.0,0.0,0.0,2.0,1.0,0.0,' negativ
26,1.0,2.0,0.0,0.0,2.0,0.0,1.0,' negativ
27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
28,1.0,2.0,0.0,0.0,1.0,1.0,2.0,' positiv
29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
30,2.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
33,2.0,2.0,0.0,0.0,0.0,1.0,0.0,' negativ
34,0.0,1.0,0.0,0.0,1.0,0.0,1.0,' negativ
35,0.0,0.0,0.0,0.0,2.0,1.0,1.0,' negativ
36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
38,0.0,2.0,0.0,0.0,0.0,1.0,1.0,' negativ
39,0.0,2.0,0.0,0.0,2.0,1.0,2.0,' negativ
40,2.0,0.0,0.0,0.0,1.0,2.0,2.0,' negativ
41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
42,1.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
43,0.0,0.0,0.0,0.0,1.0,1.0,1.0,' negativ
44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
45,1.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
46,1.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
47,1.0,0.0,0.0,0.0,0.0,1.0,0.0,' positiv
48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
49,1.0,1.0,0.0,0.0,2.0,2.0,2.0,' negativ
50,1.0,0.0,0.0,0.0,1.0,1.0,1.0,' negativ
51,0.0,1.0,0.0,0.0,2.0,1.0,1.0,' negativ
52,0.0,0.0,0.0,0.0,1.0,0.0,0.0,' negativ
53,2.0,2.0,0.0,0.0,1.0,1.0,1.0,' negativ
54,0.0,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
55,1.0,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
56,1.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
57,0.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
58,1.0,2.0,0.0,0.0,0.0,1.0,0.0,' negativ
59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
60,1.0,2.0,0.0,0.0,2.0,1.0,1.0,' negativ
61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
62,1.0,1.0,0.0,0.0,1.0,2.0,2.0,' positiv
63,0.0,1.0,0.0,0.0,1.0,0.0,0.0,' negativ
64,0.0,1.0,0.0,0.0,2.0,2.0,2.0,' negativ
65,1.0,2.0,0.0,0.0,2.0,1.0,0.0,' negativ
66,2.0,1.0,0.0,0.0,2.0,2.0,2.0,' positiv
67,2.0,0.0,0.0,0.0,1.0,1.0,1.0,' positiv
68,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' positiv
69,2.0,1.0,0.0,0.0,1.0,2.0,2.0,' positiv
70,2.0,0.0,0.0,0.0,2.0,1.0,2.0,' positiv
71,1.0,0.0,0.0,0.0,2.0,2.0,2.0,' positiv
72,2.0,1.0,0.0,0.0,0.0,1.0,1.0,' positiv
73,1.0,1.0,0.0,0.0,2.0,2.0,2.0,' positiv
74,2.0,0.0,0.0,0.0,2.0,2.0,2.0,' positiv
75,1.0,1.0,0.0,0.0,1.0,1.0,2.0,' positiv
76,2.0,2.0,0.0,0.0,1.0,1.0,1.0,' positiv
77,2.0,2.0,0.0,0.0,2.0,2.0,1.0,' positiv
78,2.0,0.0,0.0,0.0,2.0,2.0,2.0,' positiv
79,1.0,2.0,0.0,0.0,2.0,1.0,2.0,' positiv
80,2.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
81,1.0,1.0,0.0,0.0,2.0,2.0,2.0,' positiv
82,2.0,1.0,0.0,0.0,1.0,2.0,2.0,' positiv
83,2.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
84,2.0,1.0,0.0,0.0,2.0,2.0,2.0,' positiv
85,2.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
86,2.0,1.0,0.0,0.0,2.0,2.0,2.0,' positiv
87,2.0,2.0,0.0,0.0,1.0,2.0,2.0,' positiv
88,2.0,0.0,0.0,0.0,2.0,2.0,2.0,' positiv
89,1.0,0.0,0.0,0.0,1.0,1.0,1.0,' positiv
90,1.0,1.0,0.0,0.0,1.0,2.0,2.0,' positiv
91,1.0,2.0,0.0,0.0,2.0,2.0,2.0,' positiv
92,2.0,0.0,0.0,0.0,2.0,2.0,2.0,' positiv
93,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' positiv
