@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ2_arff/shuttle-c2-vs-c4/EFQ1shuttle-c2-vs-c4-5-3tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative'}
@data
0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,' negativ
1,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,' negativ
2,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,' negativ
3,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,' negativ
4,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,' negativ
5,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,' negativ
6,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,' negativ
7,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,' negativ
8,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,' negativ
9,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,' negativ
10,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,' negativ
11,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,' negativ
12,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,' negativ
13,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,' negativ
14,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,' negativ
15,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,' negativ
16,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,' negativ
17,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,' negativ
18,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,' negativ
19,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,' negativ
20,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,' negativ
21,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,' negativ
22,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,' negativ
23,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,' negativ
24,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,' negativ
25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,' negativ
26,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,' negativ
27,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,' negativ
28,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
29,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,' negativ
30,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,' negativ
31,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,' negativ
32,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,' negativ
33,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,' negativ
34,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,' negativ
