@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ2_arff/yeast1/EFQ1yeast1-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,' negativ
1,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,' positiv
2,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,' positiv
3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
4,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,' negativ
5,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,' positiv
6,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,' negativ
7,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
8,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,' negativ
9,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,' negativ
10,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
11,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
12,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
13,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,' negativ
14,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,' negativ
15,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,' negativ
16,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,' positiv
17,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,' negativ
18,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
19,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,' positiv
20,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,' negativ
21,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,' negativ
22,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,' negativ
23,1.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
24,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,' negativ
25,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,' negativ
26,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,' negativ
27,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
28,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,' negativ
29,0.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
30,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,' negativ
31,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
32,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
33,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,' negativ
34,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,' negativ
35,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
36,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,' negativ
37,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,' negativ
38,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
39,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,' negativ
40,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,' negativ
41,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,' negativ
42,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,' negativ
43,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,' positiv
44,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,' positiv
45,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,' negativ
46,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,' negativ
47,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,' negativ
48,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
49,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,' positiv
50,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,' positiv
51,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,' positiv
52,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
53,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
54,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
55,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
56,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
57,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
58,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
59,2.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,' positiv
60,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,' negativ
61,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,' negativ
62,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
63,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,' negativ
64,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,' negativ
65,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
66,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,' negativ
67,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,' negativ
68,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
