@relation ./ML-assignments/Assignment6/databases_disc/databases_EFQ3_arff/glass6/EFQ1glass6-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative',' positive'}
@data
0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,' negativ
1,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,' negativ
2,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,' negativ
3,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,' negativ
4,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,' negativ
5,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,' negativ
6,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,' negativ
7,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,' negativ
8,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,' negativ
9,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,' negativ
10,1.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,' negativ
11,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,' negativ
12,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
13,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,' negativ
14,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,' negativ
15,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,' negativ
16,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,' negativ
17,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,' negativ
18,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,' negativ
19,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,' negativ
20,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,' negativ
21,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,' negativ
22,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,' negativ
23,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,' negativ
24,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,' negativ
25,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,' negativ
26,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,' negativ
27,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,' negativ
28,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,' negativ
29,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,' negativ
30,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,' negativ
31,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,' negativ
32,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,' negativ
33,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,' negativ
34,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,' negativ
35,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,' negativ
36,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' positiv
37,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,' positiv
38,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,' positiv
39,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,' positiv
40,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,' positiv
41,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,' positiv
42,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,' positiv
43,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,' positiv
44,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,' positiv
45,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,' positiv
46,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,' positiv
47,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,' positiv
48,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,' positiv
49,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,' positiv
50,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,' positiv
51,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,' positiv
52,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,' positiv
53,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,' positiv
54,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,' positiv
55,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,' positiv
56,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,' positiv
57,0.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,' positiv
58,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,' positiv
59,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,' positiv
60,1.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,' positiv
61,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,' positiv
62,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,' positiv
63,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,' positiv
64,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,' positiv
