@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD1_arff/yeast-2_vs_8/EWD1yeast-2_vs_8-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
1,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
2,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,' negativ
3,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,' positiv
4,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,' negativ
5,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
6,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
7,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
8,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
9,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
10,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
11,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
12,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
13,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
15,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
16,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
17,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
18,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
19,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
20,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
22,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
23,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
24,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
25,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,' positiv
26,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,' negativ
27,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,' negativ
28,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
29,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
30,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' positiv
31,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
32,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
33,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
34,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
35,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
36,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,' negativ
37,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
38,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
39,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
40,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
41,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
42,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,' negativ
43,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
44,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,' negativ
46,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
47,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,' negativ
