@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/poker-8-9_vs_5/EWD2poker-8-9_vs_5-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute Class {' negative',' positive'}
@data
0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,' negativ
1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,' negativ
2,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,' negativ
3,1.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,' negativ
4,4.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,0.0,' negativ
5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
6,1.0,0.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,' negativ
7,3.0,2.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,1.0,' negativ
8,4.0,1.0,4.0,0.0,4.0,3.0,4.0,3.0,4.0,0.0,' negativ
9,3.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,' negativ
10,4.0,1.0,4.0,2.0,4.0,0.0,4.0,2.0,4.0,3.0,' negativ
11,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,' negativ
12,4.0,2.0,4.0,0.0,4.0,3.0,4.0,2.0,4.0,2.0,' negativ
13,1.0,0.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,' negativ
14,3.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,3.0,0.0,' negativ
15,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,' negativ
16,4.0,0.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,' negativ
17,4.0,4.0,4.0,2.0,4.0,1.0,4.0,0.0,4.0,4.0,' negativ
18,1.0,3.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,2.0,' negativ
19,3.0,0.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,' negativ
20,3.0,0.0,3.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,' negativ
21,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,' negativ
22,4.0,0.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,' negativ
23,3.0,0.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,1.0,' negativ
24,4.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,0.0,' negativ
25,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,' negativ
26,4.0,2.0,4.0,2.0,4.0,4.0,4.0,0.0,4.0,2.0,' negativ
27,0.0,3.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,4.0,' negativ
28,1.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,' negativ
29,1.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,' negativ
30,3.0,0.0,3.0,0.0,3.0,2.0,3.0,4.0,3.0,1.0,' negativ
31,4.0,2.0,4.0,0.0,4.0,2.0,4.0,1.0,4.0,0.0,' negativ
32,3.0,0.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,' negativ
33,3.0,2.0,3.0,4.0,3.0,0.0,3.0,4.0,3.0,3.0,' negativ
34,4.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,2.0,' negativ
35,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,' negativ
36,1.0,2.0,1.0,4.0,1.0,0.0,1.0,4.0,1.0,1.0,' negativ
37,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,' negativ
38,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,' negativ
39,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,' negativ
40,1.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,' negativ
41,4.0,0.0,4.0,1.0,4.0,1.0,4.0,0.0,4.0,4.0,' negativ
42,0.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,' negativ
43,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,' negativ
44,3.0,4.0,3.0,4.0,3.0,0.0,3.0,2.0,3.0,0.0,' negativ
45,4.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,2.0,' negativ
46,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,' negativ
47,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,' negativ
48,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,' negativ
49,4.0,1.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0,' negativ
50,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,' negativ
51,3.0,0.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,' negativ
52,3.0,4.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,2.0,' negativ
53,1.0,4.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,' negativ
54,4.0,2.0,4.0,0.0,4.0,4.0,4.0,2.0,4.0,0.0,' negativ
55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,4.0,' negativ
56,4.0,1.0,4.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,' negativ
57,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,' negativ
58,0.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,' negativ
59,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,0.0,' negativ
60,3.0,0.0,3.0,4.0,3.0,3.0,3.0,0.0,3.0,2.0,' negativ
61,0.0,2.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,4.0,' negativ
62,3.0,4.0,3.0,3.0,3.0,0.0,3.0,1.0,3.0,4.0,' negativ
