@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD2_arff/yeast-2_vs_4/EWD2yeast-2_vs_4-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative'}
@data
0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
1,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
2,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
3,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
4,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
5,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
6,4.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
7,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
8,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
9,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
10,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
11,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
12,3.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
13,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
14,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
15,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
16,3.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
17,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
18,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
19,1.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,' negativ
20,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
21,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
22,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,' negativ
23,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
24,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
25,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
26,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
27,1.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
28,3.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
29,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
30,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
31,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
32,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
33,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
34,2.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
35,1.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,' negativ
36,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
37,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
38,1.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,' negativ
39,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
40,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
41,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
42,3.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
43,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
44,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
45,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
46,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
47,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
48,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
49,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
50,1.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
51,2.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
52,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
53,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
54,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
55,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
56,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
57,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
58,2.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,' negativ
59,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
60,2.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
61,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
62,1.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,' negativ
63,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
64,3.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
65,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
66,3.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
67,3.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
68,4.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
69,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
70,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
71,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
72,1.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,' negativ
73,4.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
74,2.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
75,2.0,3.0,1.0,1.0,0.0,0.0,3.0,2.0,' negativ
76,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
77,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
78,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
79,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,' negativ
80,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
81,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
82,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
83,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
84,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
85,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
86,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
87,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
88,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,' negativ
89,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
90,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
91,2.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,' negativ
92,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
93,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,' negativ
94,3.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
95,3.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,' negativ
96,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
97,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
98,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,' negativ
99,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
100,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
101,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
102,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
103,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
104,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
105,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
106,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
107,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
108,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
109,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
110,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,' negativ
111,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
112,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
113,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
114,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
115,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
116,2.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
117,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
118,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
119,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
120,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
121,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
122,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
123,2.0,1.0,0.0,1.0,4.0,0.0,2.0,1.0,' negativ
124,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
125,2.0,1.0,1.0,2.0,0.0,0.0,3.0,2.0,' negativ
126,3.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,' negativ
127,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
128,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
129,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
130,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
131,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,' negativ
132,3.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
133,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,' negativ
134,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
135,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
136,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
137,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
138,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
139,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
140,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
141,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,' negativ
142,2.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,' negativ
143,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
144,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,' negativ
145,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
146,2.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,' negativ
147,2.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,' negativ
148,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
149,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,' negativ
