@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/ecoli3/EWD3ecoli3-5-1tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative'}
@data
0,8.0,8.0,0.0,0.0,2.0,5.0,3.0,' negativ
1,5.0,3.0,0.0,0.0,2.0,3.0,4.0,' negativ
2,4.0,4.0,0.0,0.0,5.0,1.0,3.0,' negativ
3,2.0,3.0,0.0,0.0,5.0,8.0,8.0,' negativ
4,4.0,4.0,0.0,0.0,5.0,7.0,8.0,' negativ
5,3.0,2.0,0.0,0.0,4.0,2.0,2.0,' negativ
6,4.0,2.0,0.0,0.0,5.0,5.0,6.0,' negativ
7,3.0,2.0,0.0,0.0,3.0,1.0,3.0,' negativ
8,2.0,1.0,0.0,0.0,4.0,2.0,3.0,' negativ
9,2.0,2.0,0.0,0.0,4.0,4.0,5.0,' negativ
10,7.0,5.0,0.0,0.0,4.0,4.0,5.0,' negativ
11,7.0,5.0,0.0,0.0,3.0,3.0,2.0,' negativ
12,7.0,7.0,0.0,0.0,6.0,7.0,6.0,' negativ
13,7.0,5.0,0.0,0.0,3.0,5.0,2.0,' negativ
14,4.0,4.0,0.0,0.0,3.0,3.0,4.0,' negativ
15,4.0,4.0,0.0,0.0,3.0,3.0,4.0,' negativ
16,4.0,3.0,0.0,0.0,3.0,8.0,8.0,' negativ
17,4.0,4.0,0.0,0.0,4.0,4.0,5.0,' negativ
18,3.0,3.0,0.0,0.0,2.0,1.0,3.0,' negativ
19,5.0,4.0,0.0,0.0,3.0,4.0,5.0,' negativ
20,0.0,5.0,0.0,0.0,4.0,9.0,3.0,' negativ
21,4.0,4.0,0.0,0.0,6.0,8.0,8.0,' negativ
22,2.0,3.0,0.0,0.0,4.0,5.0,6.0,' negativ
23,5.0,2.0,0.0,0.0,5.0,6.0,7.0,' negativ
24,5.0,1.0,0.0,0.0,5.0,2.0,3.0,' negativ
25,3.0,3.0,0.0,0.0,3.0,2.0,3.0,' negativ
26,5.0,2.0,0.0,0.0,6.0,7.0,8.0,' negativ
27,8.0,6.0,0.0,0.0,6.0,6.0,7.0,' negativ
28,5.0,4.0,0.0,0.0,1.0,2.0,3.0,' negativ
29,4.0,2.0,0.0,0.0,1.0,3.0,4.0,' negativ
30,4.0,1.0,0.0,0.0,3.0,3.0,4.0,' negativ
31,5.0,2.0,0.0,0.0,2.0,3.0,4.0,' negativ
32,8.0,3.0,0.0,0.0,5.0,9.0,9.0,' negativ
33,5.0,5.0,0.0,0.0,2.0,9.0,9.0,' negativ
34,3.0,3.0,0.0,0.0,5.0,1.0,3.0,' negativ
35,8.0,4.0,0.0,0.0,9.0,5.0,2.0,' negativ
36,5.0,3.0,0.0,0.0,4.0,4.0,5.0,' negativ
37,7.0,4.0,0.0,0.0,7.0,3.0,2.0,' negativ
38,4.0,2.0,0.0,0.0,5.0,1.0,2.0,' negativ
39,3.0,2.0,0.0,0.0,4.0,8.0,8.0,' negativ
40,4.0,2.0,0.0,0.0,3.0,5.0,6.0,' negativ
41,6.0,2.0,0.0,0.0,4.0,3.0,4.0,' negativ
42,4.0,3.0,0.0,0.0,5.0,3.0,4.0,' negativ
43,6.0,2.0,0.0,0.0,4.0,3.0,4.0,' negativ
44,7.0,7.0,0.0,0.0,3.0,6.0,5.0,' negativ
45,4.0,2.0,0.0,0.0,4.0,4.0,5.0,' negativ
46,3.0,3.0,0.0,0.0,2.0,3.0,4.0,' negativ
47,3.0,3.0,0.0,0.0,4.0,8.0,8.0,' negativ
48,3.0,3.0,0.0,0.0,5.0,9.0,8.0,' negativ
49,7.0,6.0,0.0,0.0,6.0,4.0,2.0,' negativ
50,2.0,2.0,0.0,0.0,3.0,2.0,4.0,' negativ
51,7.0,7.0,0.0,0.0,4.0,3.0,3.0,' negativ
52,2.0,4.0,0.0,0.0,4.0,3.0,4.0,' negativ
53,8.0,4.0,9.0,9.0,3.0,4.0,3.0,' negativ
54,6.0,3.0,0.0,0.0,3.0,9.0,9.0,' negativ
55,2.0,2.0,0.0,0.0,3.0,2.0,3.0,' negativ
56,7.0,3.0,0.0,0.0,5.0,2.0,4.0,' negativ
57,6.0,7.0,9.0,0.0,8.0,6.0,5.0,' negativ
58,7.0,5.0,0.0,0.0,6.0,7.0,7.0,' negativ
59,5.0,3.0,0.0,0.0,0.0,2.0,4.0,' negativ
60,7.0,2.0,0.0,0.0,5.0,8.0,8.0,' negativ
61,3.0,4.0,0.0,0.0,3.0,6.0,3.0,' negativ
62,7.0,6.0,0.0,0.0,3.0,5.0,3.0,' negativ
63,4.0,3.0,0.0,0.0,3.0,1.0,3.0,' negativ
64,2.0,1.0,0.0,0.0,2.0,2.0,3.0,' negativ
65,5.0,3.0,0.0,0.0,4.0,2.0,3.0,' negativ
66,2.0,2.0,0.0,0.0,2.0,1.0,3.0,' negativ
67,7.0,4.0,0.0,0.0,4.0,4.0,5.0,' negativ
68,7.0,9.0,0.0,0.0,2.0,5.0,5.0,' negativ
69,4.0,0.0,0.0,0.0,5.0,2.0,3.0,' negativ
70,4.0,2.0,0.0,0.0,5.0,3.0,4.0,' negativ
71,8.0,8.0,0.0,0.0,0.0,5.0,2.0,' negativ
72,4.0,3.0,0.0,0.0,4.0,3.0,4.0,' negativ
73,2.0,2.0,0.0,0.0,3.0,2.0,3.0,' negativ
74,7.0,4.0,0.0,0.0,6.0,8.0,8.0,' negativ
75,3.0,1.0,0.0,0.0,3.0,2.0,3.0,' negativ
76,8.0,3.0,0.0,0.0,4.0,5.0,4.0,' negativ
77,7.0,6.0,0.0,0.0,3.0,5.0,4.0,' negativ
78,2.0,3.0,0.0,0.0,3.0,1.0,3.0,' negativ
79,7.0,3.0,0.0,0.0,8.0,4.0,2.0,' negativ
80,7.0,6.0,0.0,0.0,6.0,4.0,4.0,' negativ
81,2.0,2.0,0.0,0.0,4.0,2.0,3.0,' negativ
82,4.0,3.0,0.0,0.0,3.0,3.0,4.0,' negativ
83,8.0,7.0,0.0,0.0,8.0,5.0,1.0,' negativ
84,2.0,3.0,0.0,0.0,2.0,2.0,3.0,' negativ
85,3.0,1.0,0.0,0.0,3.0,3.0,4.0,' negativ
86,3.0,2.0,0.0,0.0,4.0,6.0,7.0,' negativ
87,2.0,2.0,0.0,0.0,4.0,3.0,4.0,' negativ
88,4.0,1.0,0.0,0.0,3.0,2.0,4.0,' negativ
89,6.0,3.0,0.0,0.0,4.0,3.0,4.0,' negativ
90,7.0,6.0,0.0,0.0,4.0,4.0,3.0,' negativ
91,4.0,1.0,0.0,0.0,4.0,2.0,3.0,' negativ
92,7.0,6.0,0.0,0.0,1.0,3.0,2.0,' negativ
93,4.0,3.0,0.0,0.0,3.0,3.0,4.0,' negativ
94,4.0,4.0,0.0,0.0,3.0,4.0,5.0,' negativ
95,4.0,3.0,0.0,0.0,5.0,5.0,5.0,' negativ
96,3.0,2.0,0.0,0.0,4.0,2.0,3.0,' negativ
97,3.0,0.0,0.0,0.0,5.0,0.0,2.0,' negativ
98,6.0,4.0,0.0,0.0,5.0,7.0,5.0,' negativ
99,8.0,6.0,0.0,0.0,3.0,3.0,4.0,' negativ
100,7.0,7.0,0.0,0.0,4.0,5.0,2.0,' negativ
101,8.0,8.0,0.0,0.0,9.0,6.0,3.0,' negativ
102,1.0,3.0,0.0,0.0,3.0,7.0,2.0,' negativ
103,4.0,2.0,0.0,0.0,5.0,3.0,4.0,' negativ
104,7.0,8.0,0.0,0.0,2.0,4.0,4.0,' negativ
105,8.0,6.0,0.0,0.0,2.0,5.0,5.0,' negativ
106,3.0,3.0,0.0,0.0,5.0,4.0,5.0,' negativ
107,9.0,2.0,0.0,0.0,6.0,7.0,7.0,' negativ
