@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/glass-0-1-2-3_vs_4-5-6/EWD3glass-0-1-2-3_vs_4-5-6-5-5tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,3.0,8.0,2.0,5.0,1.0,2.0,0.0,0.0,' negativ
1,2.0,3.0,9.0,2.0,6.0,0.0,2.0,0.0,0.0,' negativ
2,3.0,4.0,9.0,3.0,3.0,0.0,3.0,2.0,0.0,' negativ
3,2.0,3.0,8.0,2.0,5.0,0.0,2.0,0.0,0.0,' negativ
4,2.0,2.0,9.0,4.0,5.0,1.0,2.0,0.0,2.0,' negativ
5,3.0,3.0,8.0,2.0,5.0,0.0,3.0,0.0,1.0,' negativ
6,2.0,4.0,8.0,2.0,5.0,0.0,2.0,0.0,0.0,' negativ
7,2.0,2.0,8.0,2.0,5.0,1.0,3.0,0.0,3.0,' negativ
8,4.0,5.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0,' negativ
9,4.0,3.0,9.0,1.0,3.0,0.0,3.0,0.0,0.0,' negativ
10,2.0,2.0,8.0,3.0,5.0,1.0,3.0,0.0,0.0,' negativ
11,2.0,3.0,9.0,3.0,4.0,0.0,2.0,0.0,0.0,' negativ
12,2.0,3.0,7.0,3.0,5.0,0.0,3.0,0.0,9.0,' negativ
13,3.0,4.0,9.0,2.0,3.0,0.0,2.0,0.0,3.0,' negativ
14,6.0,0.0,0.0,1.0,6.0,0.0,8.0,0.0,0.0,' negativ
15,3.0,2.0,9.0,3.0,4.0,0.0,2.0,0.0,1.0,' negativ
16,4.0,4.0,2.0,3.0,4.0,0.0,5.0,0.0,0.0,' negativ
17,6.0,4.0,0.0,3.0,2.0,0.0,7.0,0.0,1.0,' negativ
18,2.0,3.0,8.0,4.0,4.0,1.0,2.0,0.0,0.0,' negativ
19,2.0,3.0,8.0,3.0,5.0,0.0,2.0,0.0,0.0,' negativ
20,3.0,3.0,9.0,2.0,4.0,0.0,2.0,0.0,0.0,' negativ
21,2.0,2.0,8.0,3.0,5.0,1.0,2.0,2.0,2.0,' negativ
22,3.0,2.0,9.0,2.0,4.0,1.0,3.0,0.0,2.0,' negativ
23,9.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,2.0,' negativ
24,2.0,3.0,9.0,3.0,4.0,1.0,2.0,0.0,3.0,' negativ
25,3.0,3.0,9.0,3.0,4.0,0.0,2.0,0.0,0.0,' negativ
26,2.0,3.0,8.0,3.0,5.0,0.0,2.0,0.0,0.0,' negativ
27,2.0,3.0,8.0,4.0,4.0,0.0,2.0,0.0,1.0,' negativ
28,4.0,4.0,9.0,0.0,3.0,0.0,3.0,0.0,0.0,' negativ
29,3.0,3.0,8.0,3.0,4.0,0.0,3.0,0.0,0.0,' negativ
30,2.0,3.0,8.0,3.0,5.0,0.0,2.0,0.0,1.0,' negativ
31,0.0,3.0,0.0,8.0,1.0,9.0,1.0,0.0,0.0,' positiv
32,4.0,3.0,0.0,3.0,4.0,0.0,6.0,0.0,0.0,' positiv
