@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/winequality-red-8_vs_6/EWD3winequality-red-8_vs_6-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute Class {' negative',' positive'}
@data
0,3.0,1.0,7.0,0.0,2.0,2.0,6.0,5.0,5.0,5.0,1.0,' negativ
1,6.0,1.0,6.0,0.0,2.0,3.0,3.0,6.0,5.0,3.0,1.0,' negativ
2,3.0,9.0,0.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,' negativ
3,2.0,5.0,2.0,0.0,2.0,2.0,7.0,4.0,8.0,2.0,1.0,' negativ
4,2.0,3.0,5.0,0.0,2.0,2.0,2.0,4.0,5.0,2.0,0.0,' negativ
5,3.0,6.0,3.0,1.0,2.0,1.0,5.0,4.0,5.0,2.0,2.0,' negativ
6,8.0,3.0,8.0,0.0,1.0,0.0,0.0,5.0,3.0,3.0,2.0,' negativ
7,3.0,2.0,5.0,0.0,2.0,4.0,4.0,4.0,5.0,2.0,1.0,' negativ
8,4.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,3.0,1.0,' negativ
9,4.0,9.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,1.0,0.0,' negativ
10,2.0,5.0,0.0,0.0,2.0,2.0,2.0,4.0,5.0,2.0,0.0,' negativ
11,2.0,5.0,0.0,0.0,2.0,2.0,2.0,4.0,5.0,2.0,0.0,' negativ
12,2.0,5.0,0.0,0.0,2.0,0.0,1.0,5.0,8.0,7.0,2.0,' negativ
13,2.0,4.0,0.0,1.0,1.0,0.0,1.0,6.0,9.0,6.0,1.0,' negativ
14,8.0,0.0,7.0,1.0,3.0,0.0,1.0,6.0,4.0,7.0,2.0,' negativ
15,6.0,2.0,5.0,0.0,8.0,0.0,0.0,6.0,3.0,2.0,1.0,' negativ
16,3.0,4.0,3.0,1.0,1.0,3.0,9.0,5.0,4.0,1.0,1.0,' negativ
17,5.0,7.0,0.0,0.0,2.0,1.0,1.0,6.0,5.0,6.0,1.0,' negativ
18,9.0,2.0,9.0,0.0,2.0,1.0,3.0,7.0,3.0,3.0,2.0,' negativ
19,3.0,0.0,5.0,0.0,0.0,1.0,1.0,4.0,5.0,6.0,0.0,' negativ
20,5.0,1.0,6.0,0.0,1.0,4.0,3.0,4.0,5.0,8.0,3.0,' negativ
21,8.0,3.0,6.0,1.0,1.0,3.0,3.0,7.0,4.0,9.0,4.0,' negativ
22,3.0,5.0,0.0,0.0,2.0,1.0,2.0,5.0,6.0,4.0,1.0,' negativ
23,3.0,4.0,3.0,0.0,2.0,3.0,3.0,5.0,6.0,4.0,0.0,' negativ
24,3.0,3.0,3.0,0.0,2.0,3.0,4.0,5.0,6.0,4.0,0.0,' negativ
25,3.0,1.0,4.0,0.0,1.0,3.0,2.0,3.0,4.0,0.0,3.0,' negativ
26,6.0,3.0,6.0,0.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,' negativ
27,5.0,7.0,3.0,0.0,1.0,0.0,2.0,6.0,4.0,2.0,3.0,' negativ
28,5.0,3.0,7.0,0.0,2.0,2.0,1.0,5.0,5.0,2.0,4.0,' negativ
29,8.0,2.0,9.0,0.0,2.0,0.0,1.0,7.0,3.0,2.0,0.0,' negativ
30,5.0,4.0,5.0,0.0,2.0,4.0,4.0,4.0,3.0,4.0,5.0,' negativ
31,6.0,1.0,7.0,0.0,2.0,1.0,1.0,5.0,3.0,6.0,1.0,' negativ
32,3.0,4.0,3.0,0.0,2.0,2.0,2.0,5.0,6.0,3.0,0.0,' negativ
33,3.0,4.0,3.0,0.0,2.0,2.0,2.0,5.0,6.0,3.0,0.0,' negativ
34,6.0,4.0,4.0,0.0,2.0,4.0,5.0,6.0,3.0,3.0,2.0,' negativ
35,6.0,4.0,4.0,0.0,2.0,4.0,5.0,6.0,3.0,3.0,2.0,' negativ
36,6.0,3.0,3.0,1.0,3.0,1.0,2.0,7.0,4.0,2.0,2.0,' negativ
37,2.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,' negativ
38,5.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,4.0,2.0,' negativ
39,9.0,3.0,6.0,2.0,2.0,0.0,3.0,8.0,5.0,3.0,7.0,' negativ
40,1.0,2.0,3.0,0.0,2.0,3.0,3.0,2.0,8.0,2.0,5.0,' negativ
41,7.0,2.0,6.0,1.0,1.0,3.0,6.0,6.0,3.0,3.0,2.0,' negativ
42,7.0,1.0,6.0,0.0,1.0,2.0,3.0,5.0,3.0,1.0,2.0,' negativ
43,0.0,2.0,3.0,0.0,1.0,3.0,4.0,0.0,9.0,4.0,9.0,' positiv
44,4.0,4.0,2.0,0.0,1.0,0.0,2.0,4.0,3.0,1.0,2.0,' negativ
45,4.0,5.0,1.0,0.0,2.0,0.0,1.0,5.0,5.0,2.0,0.0,' negativ
46,6.0,5.0,5.0,2.0,3.0,1.0,5.0,9.0,5.0,3.0,3.0,' negativ
47,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,8.0,1.0,7.0,' negativ
48,4.0,4.0,3.0,0.0,2.0,0.0,2.0,5.0,4.0,2.0,1.0,' negativ
49,2.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,' negativ
50,7.0,2.0,6.0,0.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,' negativ
51,2.0,5.0,0.0,0.0,1.0,1.0,1.0,4.0,7.0,3.0,1.0,' negativ
52,1.0,8.0,0.0,1.0,1.0,4.0,4.0,3.0,8.0,1.0,7.0,' negativ
53,4.0,6.0,4.0,2.0,1.0,1.0,0.0,4.0,6.0,3.0,5.0,' negativ
54,2.0,3.0,2.0,0.0,1.0,1.0,2.0,5.0,7.0,4.0,1.0,' negativ
55,5.0,5.0,1.0,1.0,2.0,1.0,3.0,6.0,5.0,1.0,1.0,' negativ
56,2.0,5.0,2.0,0.0,9.0,0.0,1.0,4.0,6.0,2.0,3.0,' negativ
57,3.0,2.0,5.0,0.0,2.0,2.0,7.0,4.0,5.0,3.0,1.0,' negativ
58,3.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,3.0,' negativ
59,9.0,3.0,7.0,1.0,1.0,0.0,1.0,7.0,2.0,3.0,4.0,' negativ
60,6.0,3.0,2.0,1.0,2.0,0.0,2.0,5.0,4.0,2.0,3.0,' negativ
61,1.0,5.0,1.0,0.0,1.0,2.0,1.0,2.0,8.0,4.0,4.0,' negativ
62,7.0,3.0,6.0,0.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,' negativ
63,5.0,2.0,5.0,0.0,2.0,7.0,4.0,4.0,7.0,4.0,4.0,' negativ
64,3.0,6.0,0.0,0.0,1.0,5.0,3.0,2.0,6.0,2.0,5.0,' negativ
65,4.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,1.0,2.0,' negativ
66,3.0,4.0,1.0,0.0,1.0,5.0,5.0,3.0,6.0,2.0,3.0,' negativ
67,5.0,1.0,6.0,5.0,3.0,0.0,0.0,6.0,3.0,2.0,4.0,' negativ
68,2.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,5.0,' negativ
69,4.0,2.0,4.0,0.0,2.0,5.0,6.0,4.0,5.0,4.0,4.0,' negativ
70,4.0,5.0,1.0,0.0,1.0,6.0,3.0,3.0,5.0,6.0,5.0,' negativ
71,3.0,3.0,5.0,1.0,2.0,0.0,0.0,3.0,6.0,1.0,6.0,' negativ
72,5.0,2.0,5.0,0.0,1.0,5.0,3.0,2.0,3.0,2.0,6.0,' negativ
73,3.0,4.0,2.0,0.0,4.0,0.0,0.0,2.0,4.0,2.0,4.0,' negativ
74,6.0,2.0,6.0,0.0,1.0,2.0,1.0,4.0,2.0,5.0,5.0,' negativ
75,7.0,2.0,9.0,0.0,4.0,0.0,0.0,4.0,3.0,1.0,6.0,' negativ
76,4.0,1.0,5.0,0.0,2.0,0.0,0.0,3.0,4.0,1.0,6.0,' negativ
77,3.0,4.0,1.0,0.0,2.0,2.0,1.0,3.0,5.0,2.0,3.0,' negativ
78,5.0,3.0,5.0,0.0,2.0,0.0,0.0,4.0,4.0,5.0,4.0,' negativ
79,4.0,5.0,3.0,0.0,2.0,0.0,6.0,5.0,2.0,2.0,0.0,' negativ
80,2.0,2.0,3.0,0.0,2.0,5.0,6.0,4.0,6.0,2.0,1.0,' negativ
81,6.0,1.0,7.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,5.0,' negativ
82,2.0,2.0,4.0,0.0,1.0,5.0,5.0,4.0,6.0,2.0,1.0,' negativ
83,3.0,2.0,5.0,0.0,2.0,0.0,1.0,3.0,5.0,2.0,5.0,' negativ
84,1.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,6.0,1.0,4.0,' negativ
85,3.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,5.0,3.0,6.0,' negativ
86,3.0,3.0,4.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0,6.0,' negativ
87,3.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,8.0,' positiv
88,1.0,6.0,0.0,1.0,1.0,4.0,4.0,2.0,7.0,2.0,5.0,' negativ
89,3.0,1.0,5.0,0.0,1.0,3.0,4.0,2.0,5.0,2.0,6.0,' negativ
90,6.0,4.0,6.0,0.0,2.0,0.0,0.0,5.0,4.0,4.0,5.0,' negativ
91,5.0,2.0,4.0,0.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,' negativ
92,2.0,2.0,5.0,1.0,1.0,3.0,4.0,3.0,6.0,9.0,3.0,' negativ
93,5.0,2.0,6.0,0.0,1.0,0.0,0.0,4.0,4.0,4.0,6.0,' negativ
94,1.0,5.0,0.0,0.0,2.0,8.0,4.0,3.0,8.0,3.0,5.0,' negativ
95,2.0,3.0,4.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,6.0,' negativ
