@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/yeast-0-3-5-9_vs_7-8/EWD3yeast-0-3-5-9_vs_7-8-5-2tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,5.0,3.0,6.0,5.0,0.0,0.0,7.0,2.0,' negativ
1,4.0,5.0,6.0,6.0,0.0,0.0,7.0,2.0,' negativ
2,5.0,5.0,4.0,5.0,0.0,0.0,6.0,2.0,' negativ
3,1.0,5.0,5.0,2.0,0.0,0.0,0.0,2.0,' negativ
4,3.0,3.0,8.0,2.0,0.0,0.0,7.0,2.0,' negativ
5,6.0,6.0,6.0,5.0,0.0,0.0,7.0,2.0,' negativ
6,2.0,6.0,3.0,8.0,0.0,0.0,5.0,2.0,' negativ
7,4.0,4.0,4.0,6.0,0.0,0.0,6.0,2.0,' negativ
8,3.0,4.0,7.0,6.0,0.0,0.0,8.0,2.0,' negativ
9,4.0,5.0,7.0,0.0,0.0,0.0,6.0,2.0,' negativ
10,2.0,5.0,9.0,2.0,0.0,0.0,8.0,2.0,' negativ
11,2.0,7.0,4.0,6.0,0.0,0.0,7.0,5.0,' negativ
12,4.0,5.0,6.0,3.0,0.0,0.0,6.0,2.0,' negativ
13,1.0,4.0,6.0,9.0,0.0,0.0,6.0,2.0,' negativ
14,4.0,7.0,5.0,7.0,0.0,0.0,7.0,2.0,' negativ
15,3.0,5.0,6.0,8.0,0.0,0.0,7.0,2.0,' negativ
16,1.0,4.0,5.0,2.0,0.0,0.0,6.0,3.0,' negativ
17,5.0,5.0,6.0,2.0,0.0,0.0,5.0,2.0,' negativ
18,3.0,5.0,6.0,7.0,0.0,0.0,6.0,2.0,' negativ
19,7.0,4.0,6.0,8.0,0.0,0.0,5.0,3.0,' negativ
20,3.0,5.0,6.0,5.0,0.0,0.0,7.0,2.0,' negativ
21,7.0,6.0,4.0,2.0,0.0,0.0,6.0,2.0,' negativ
22,6.0,5.0,6.0,5.0,0.0,0.0,8.0,2.0,' negativ
23,5.0,5.0,7.0,3.0,0.0,0.0,3.0,0.0,' negativ
24,1.0,3.0,6.0,5.0,0.0,0.0,6.0,2.0,' negativ
25,6.0,6.0,6.0,5.0,0.0,0.0,5.0,2.0,' negativ
26,5.0,5.0,7.0,5.0,0.0,0.0,6.0,2.0,' negativ
27,6.0,5.0,6.0,6.0,0.0,0.0,5.0,2.0,' negativ
28,1.0,5.0,6.0,4.0,0.0,0.0,6.0,2.0,' negativ
29,5.0,5.0,5.0,6.0,0.0,0.0,5.0,3.0,' negativ
30,3.0,4.0,6.0,3.0,0.0,0.0,6.0,2.0,' negativ
31,2.0,1.0,6.0,0.0,0.0,0.0,9.0,2.0,' negativ
