@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/yeast-0-5-6-7-9_vs_4/EWD3yeast-0-5-6-7-9_vs_4-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative'}
@data
0,3.0,6.0,5.0,2.0,0.0,0.0,6.0,1.0,' negativ
1,6.0,5.0,5.0,0.0,0.0,0.0,6.0,1.0,' negativ
2,3.0,3.0,5.0,5.0,0.0,0.0,5.0,1.0,' negativ
3,4.0,4.0,5.0,7.0,0.0,0.0,6.0,1.0,' negativ
4,5.0,4.0,8.0,3.0,0.0,0.0,5.0,1.0,' negativ
5,4.0,4.0,6.0,5.0,0.0,0.0,6.0,1.0,' negativ
6,6.0,6.0,7.0,2.0,0.0,0.0,5.0,1.0,' negativ
7,4.0,4.0,4.0,9.0,0.0,0.0,6.0,1.0,' negativ
8,5.0,4.0,4.0,4.0,0.0,0.0,5.0,1.0,' negativ
9,5.0,4.0,6.0,3.0,0.0,0.0,6.0,1.0,' negativ
10,3.0,5.0,5.0,7.0,0.0,0.0,6.0,1.0,' negativ
11,3.0,2.0,6.0,5.0,0.0,0.0,6.0,1.0,' negativ
12,5.0,4.0,4.0,6.0,0.0,0.0,4.0,1.0,' negativ
13,3.0,4.0,6.0,7.0,0.0,0.0,4.0,1.0,' negativ
14,3.0,4.0,7.0,1.0,0.0,0.0,4.0,1.0,' negativ
15,4.0,3.0,6.0,5.0,0.0,0.0,3.0,1.0,' negativ
16,6.0,4.0,6.0,4.0,0.0,0.0,5.0,1.0,' negativ
17,4.0,4.0,6.0,5.0,0.0,0.0,5.0,2.0,' negativ
18,4.0,3.0,6.0,5.0,0.0,0.0,6.0,1.0,' negativ
19,4.0,5.0,4.0,4.0,0.0,0.0,4.0,1.0,' negativ
20,4.0,4.0,8.0,3.0,0.0,0.0,4.0,1.0,' negativ
21,3.0,2.0,5.0,1.0,0.0,0.0,6.0,2.0,' negativ
22,5.0,6.0,3.0,3.0,0.0,0.0,7.0,1.0,' negativ
23,8.0,7.0,3.0,2.0,0.0,0.0,6.0,1.0,' negativ
24,3.0,3.0,5.0,6.0,0.0,0.0,5.0,1.0,' negativ
25,5.0,6.0,6.0,4.0,0.0,0.0,4.0,1.0,' negativ
26,3.0,3.0,7.0,5.0,0.0,0.0,5.0,1.0,' negativ
27,2.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,' negativ
28,3.0,3.0,8.0,2.0,0.0,0.0,6.0,1.0,' negativ
29,6.0,5.0,1.0,2.0,0.0,0.0,5.0,1.0,' negativ
30,5.0,4.0,6.0,4.0,0.0,0.0,6.0,1.0,' negativ
31,5.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0,' negativ
32,3.0,6.0,5.0,5.0,0.0,0.0,6.0,1.0,' negativ
33,7.0,5.0,5.0,4.0,0.0,0.0,7.0,1.0,' negativ
34,5.0,6.0,1.0,3.0,0.0,0.0,6.0,1.0,' negativ
35,4.0,4.0,5.0,5.0,0.0,0.0,6.0,2.0,' negativ
36,6.0,4.0,4.0,6.0,0.0,0.0,5.0,1.0,' negativ
37,5.0,5.0,7.0,5.0,0.0,0.0,5.0,2.0,' negativ
38,7.0,5.0,2.0,2.0,0.0,0.0,6.0,2.0,' negativ
39,7.0,5.0,3.0,2.0,0.0,0.0,7.0,1.0,' negativ
40,3.0,3.0,3.0,3.0,0.0,0.0,5.0,2.0,' negativ
41,3.0,5.0,3.0,7.0,0.0,0.0,4.0,2.0,' negativ
42,5.0,5.0,2.0,1.0,0.0,0.0,5.0,1.0,' negativ
43,4.0,4.0,7.0,5.0,0.0,0.0,5.0,1.0,' negativ
44,4.0,5.0,4.0,6.0,0.0,0.0,2.0,1.0,' negativ
45,4.0,3.0,4.0,5.0,0.0,0.0,3.0,1.0,' negativ
46,2.0,5.0,4.0,5.0,0.0,0.0,4.0,1.0,' negativ
47,5.0,3.0,4.0,5.0,0.0,0.0,5.0,1.0,' negativ
48,3.0,5.0,9.0,1.0,0.0,0.0,7.0,1.0,' negativ
49,3.0,6.0,4.0,5.0,0.0,0.0,6.0,4.0,' negativ
50,3.0,5.0,6.0,6.0,0.0,0.0,6.0,3.0,' negativ
51,7.0,4.0,5.0,4.0,0.0,0.0,5.0,1.0,' negativ
52,5.0,5.0,5.0,6.0,0.0,0.0,6.0,1.0,' negativ
53,3.0,3.0,6.0,6.0,0.0,0.0,4.0,1.0,' negativ
54,3.0,4.0,5.0,7.0,0.0,0.0,6.0,1.0,' negativ
55,2.0,3.0,6.0,8.0,0.0,0.0,5.0,2.0,' negativ
56,4.0,6.0,5.0,6.0,0.0,0.0,6.0,2.0,' negativ
57,4.0,4.0,5.0,4.0,0.0,0.0,6.0,1.0,' negativ
58,3.0,4.0,6.0,6.0,0.0,0.0,6.0,1.0,' negativ
59,4.0,4.0,5.0,5.0,0.0,0.0,5.0,1.0,' negativ
60,5.0,4.0,5.0,4.0,0.0,0.0,6.0,1.0,' negativ
61,4.0,4.0,4.0,4.0,0.0,0.0,5.0,1.0,' negativ
62,3.0,5.0,6.0,8.0,0.0,0.0,4.0,1.0,' negativ
63,6.0,4.0,6.0,2.0,0.0,0.0,5.0,1.0,' negativ
64,2.0,4.0,5.0,1.0,0.0,0.0,5.0,2.0,' negativ
65,3.0,5.0,8.0,4.0,0.0,0.0,2.0,0.0,' negativ
66,5.0,4.0,6.0,1.0,0.0,0.0,4.0,1.0,' negativ
67,5.0,5.0,4.0,0.0,0.0,0.0,6.0,1.0,' negativ
68,4.0,4.0,6.0,6.0,0.0,0.0,5.0,4.0,' negativ
69,2.0,3.0,7.0,1.0,0.0,0.0,3.0,1.0,' negativ
70,4.0,5.0,6.0,1.0,0.0,0.0,5.0,1.0,' negativ
71,6.0,4.0,6.0,7.0,0.0,0.0,4.0,2.0,' negativ
72,4.0,5.0,6.0,7.0,0.0,0.0,5.0,1.0,' negativ
73,3.0,4.0,6.0,5.0,0.0,0.0,6.0,2.0,' negativ
74,7.0,5.0,4.0,2.0,0.0,0.0,5.0,1.0,' negativ
75,3.0,3.0,5.0,1.0,0.0,0.0,7.0,1.0,' negativ
76,8.0,5.0,6.0,4.0,0.0,0.0,7.0,2.0,' negativ
77,5.0,4.0,5.0,4.0,0.0,0.0,7.0,1.0,' negativ
78,1.0,3.0,6.0,2.0,0.0,0.0,5.0,1.0,' negativ
79,4.0,3.0,4.0,4.0,0.0,0.0,5.0,2.0,' negativ
80,4.0,3.0,4.0,6.0,0.0,0.0,6.0,1.0,' negativ
81,3.0,3.0,8.0,7.0,0.0,0.0,5.0,1.0,' negativ
82,6.0,4.0,6.0,4.0,0.0,0.0,6.0,2.0,' negativ
83,4.0,4.0,7.0,4.0,0.0,0.0,5.0,3.0,' negativ
84,3.0,6.0,5.0,7.0,0.0,0.0,6.0,4.0,' negativ
85,6.0,4.0,6.0,1.0,0.0,0.0,3.0,2.0,' negativ
86,2.0,6.0,5.0,9.0,0.0,0.0,4.0,3.0,' negativ
87,5.0,5.0,4.0,2.0,0.0,0.0,5.0,1.0,' negativ
88,5.0,5.0,6.0,4.0,0.0,0.0,5.0,1.0,' negativ
89,2.0,3.0,6.0,5.0,0.0,0.0,5.0,1.0,' negativ
90,4.0,3.0,6.0,3.0,0.0,0.0,4.0,1.0,' negativ
91,3.0,4.0,7.0,1.0,0.0,0.0,6.0,1.0,' negativ
92,5.0,3.0,8.0,2.0,0.0,0.0,5.0,0.0,' negativ
93,3.0,4.0,6.0,7.0,0.0,0.0,4.0,1.0,' negativ
94,4.0,3.0,8.0,3.0,0.0,0.0,5.0,1.0,' negativ
95,3.0,2.0,8.0,0.0,0.0,0.0,6.0,1.0,' negativ
96,5.0,5.0,8.0,5.0,0.0,0.0,4.0,2.0,' negativ
