@relation ./ML-assignments/Assignment6/databases_disc/databases_EWD3_arff/yeast-1-2-8-9_vs_7/EWD3yeast-1-2-8-9_vs_7-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,2.0,3.0,9.0,1.0,0.0,0.0,7.0,4.0,' negativ
1,1.0,1.0,7.0,1.0,0.0,0.0,5.0,4.0,' negativ
2,3.0,4.0,5.0,1.0,0.0,0.0,7.0,9.0,' negativ
3,3.0,2.0,6.0,1.0,0.0,0.0,7.0,1.0,' negativ
4,2.0,5.0,6.0,1.0,0.0,0.0,6.0,1.0,' negativ
5,5.0,3.0,6.0,6.0,0.0,0.0,7.0,1.0,' negativ
6,1.0,1.0,8.0,0.0,0.0,0.0,7.0,4.0,' negativ
7,2.0,7.0,4.0,1.0,0.0,0.0,7.0,1.0,' negativ
8,6.0,8.0,6.0,9.0,0.0,0.0,7.0,2.0,' negativ
9,4.0,3.0,6.0,1.0,0.0,0.0,5.0,1.0,' negativ
10,5.0,4.0,6.0,1.0,0.0,0.0,8.0,1.0,' negativ
11,5.0,5.0,4.0,0.0,0.0,0.0,6.0,1.0,' negativ
12,2.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,' negativ
13,2.0,2.0,8.0,2.0,0.0,0.0,5.0,2.0,' negativ
14,2.0,6.0,5.0,0.0,0.0,0.0,7.0,3.0,' negativ
15,0.0,0.0,7.0,2.0,0.0,0.0,5.0,1.0,' negativ
16,5.0,5.0,7.0,1.0,0.0,0.0,5.0,1.0,' negativ
17,5.0,3.0,7.0,0.0,0.0,0.0,5.0,1.0,' negativ
18,5.0,3.0,4.0,7.0,0.0,0.0,7.0,5.0,' negativ
19,3.0,2.0,8.0,1.0,0.0,0.0,7.0,2.0,' negativ
20,2.0,1.0,7.0,2.0,0.0,0.0,4.0,0.0,' negativ
21,2.0,2.0,7.0,7.0,0.0,0.0,2.0,0.0,' negativ
22,4.0,3.0,7.0,2.0,0.0,0.0,6.0,1.0,' negativ
23,4.0,4.0,7.0,7.0,0.0,0.0,6.0,1.0,' negativ
24,7.0,4.0,3.0,2.0,0.0,0.0,6.0,1.0,' negativ
25,5.0,4.0,4.0,1.0,0.0,0.0,6.0,1.0,' negativ
26,2.0,0.0,7.0,0.0,0.0,0.0,7.0,3.0,' negativ
27,4.0,2.0,8.0,0.0,0.0,0.0,3.0,1.0,' negativ
28,5.0,5.0,6.0,2.0,0.0,0.0,8.0,2.0,' negativ
29,4.0,6.0,6.0,3.0,0.0,0.0,6.0,2.0,' negativ
30,9.0,5.0,6.0,5.0,0.0,0.0,3.0,2.0,' negativ
31,7.0,4.0,5.0,2.0,0.0,0.0,7.0,1.0,' negativ
32,5.0,4.0,7.0,1.0,0.0,0.0,1.0,1.0,' negativ
33,2.0,2.0,5.0,0.0,0.0,0.0,6.0,6.0,' negativ
34,6.0,4.0,5.0,3.0,0.0,0.0,6.0,2.0,' negativ
35,2.0,2.0,8.0,0.0,0.0,0.0,6.0,1.0,' negativ
36,4.0,5.0,4.0,1.0,0.0,0.0,7.0,2.0,' negativ
37,3.0,1.0,6.0,0.0,0.0,0.0,5.0,1.0,' negativ
38,2.0,2.0,6.0,1.0,0.0,0.0,6.0,1.0,' negativ
39,4.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,' negativ
40,2.0,1.0,7.0,1.0,0.0,0.0,6.0,1.0,' negativ
41,2.0,2.0,6.0,0.0,0.0,0.0,5.0,1.0,' negativ
42,7.0,2.0,5.0,1.0,0.0,0.0,5.0,2.0,' negativ
43,2.0,3.0,6.0,7.0,0.0,0.0,6.0,3.0,' negativ
44,2.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,' negativ
45,4.0,5.0,7.0,1.0,0.0,0.0,6.0,3.0,' negativ
46,3.0,3.0,6.0,1.0,0.0,0.0,5.0,1.0,' negativ
47,4.0,3.0,5.0,1.0,0.0,0.0,5.0,1.0,' negativ
48,3.0,5.0,5.0,3.0,0.0,0.0,6.0,1.0,' negativ
49,5.0,5.0,6.0,1.0,0.0,0.0,6.0,1.0,' negativ
50,3.0,4.0,6.0,2.0,0.0,0.0,7.0,3.0,' negativ
51,5.0,0.0,8.0,0.0,0.0,0.0,5.0,2.0,' negativ
52,3.0,7.0,1.0,2.0,0.0,0.0,7.0,1.0,' negativ
53,2.0,5.0,5.0,2.0,0.0,0.0,5.0,1.0,' negativ
54,5.0,4.0,6.0,1.0,0.0,0.0,6.0,2.0,' negativ
55,2.0,3.0,5.0,3.0,0.0,0.0,4.0,1.0,' negativ
56,4.0,5.0,9.0,2.0,0.0,0.0,4.0,1.0,' negativ
57,2.0,3.0,6.0,1.0,0.0,0.0,6.0,1.0,' negativ
58,1.0,2.0,5.0,1.0,0.0,0.0,6.0,2.0,' negativ
59,3.0,3.0,7.0,0.0,0.0,0.0,6.0,1.0,' negativ
60,3.0,4.0,7.0,1.0,0.0,0.0,8.0,1.0,' negativ
61,4.0,4.0,6.0,1.0,0.0,0.0,6.0,1.0,' negativ
62,3.0,2.0,6.0,6.0,0.0,0.0,6.0,2.0,' negativ
63,5.0,5.0,6.0,1.0,0.0,0.0,6.0,3.0,' negativ
64,3.0,3.0,4.0,3.0,0.0,0.0,5.0,2.0,' negativ
65,3.0,4.0,5.0,3.0,0.0,0.0,6.0,2.0,' negativ
66,0.0,1.0,5.0,1.0,0.0,0.0,4.0,2.0,' negativ
67,2.0,4.0,7.0,2.0,0.0,0.0,5.0,2.0,' negativ
68,3.0,5.0,9.0,1.0,0.0,0.0,6.0,2.0,' negativ
69,4.0,3.0,6.0,0.0,0.0,0.0,6.0,1.0,' negativ
70,4.0,1.0,5.0,3.0,0.0,0.0,8.0,4.0,' negativ
71,1.0,0.0,7.0,4.0,0.0,0.0,6.0,1.0,' negativ
72,0.0,2.0,5.0,1.0,0.0,0.0,8.0,6.0,' negativ
73,2.0,3.0,8.0,3.0,0.0,0.0,6.0,0.0,' negativ
74,0.0,2.0,6.0,1.0,0.0,0.0,8.0,1.0,' negativ
75,4.0,3.0,8.0,5.0,0.0,0.0,5.0,4.0,' negativ
76,3.0,3.0,5.0,6.0,0.0,0.0,6.0,1.0,' negativ
77,2.0,3.0,3.0,3.0,0.0,0.0,5.0,1.0,' negativ
78,3.0,2.0,4.0,4.0,0.0,0.0,5.0,3.0,' negativ
79,2.0,2.0,7.0,0.0,0.0,0.0,5.0,1.0,' negativ
80,5.0,3.0,8.0,0.0,0.0,0.0,7.0,1.0,' negativ
81,2.0,3.0,6.0,1.0,0.0,0.0,9.0,0.0,' negativ
82,4.0,2.0,7.0,6.0,0.0,0.0,5.0,1.0,' negativ
83,4.0,3.0,6.0,1.0,0.0,0.0,6.0,2.0,' negativ
84,4.0,5.0,7.0,1.0,0.0,0.0,7.0,6.0,' negativ
85,3.0,4.0,6.0,0.0,0.0,0.0,7.0,1.0,' negativ
86,5.0,3.0,8.0,1.0,0.0,0.0,6.0,1.0,' negativ
87,2.0,4.0,6.0,1.0,0.0,0.0,6.0,1.0,' negativ
88,2.0,3.0,7.0,0.0,0.0,0.0,7.0,1.0,' negativ
89,3.0,3.0,7.0,2.0,0.0,0.0,5.0,1.0,' negativ
90,6.0,5.0,7.0,3.0,0.0,0.0,2.0,1.0,' negativ
91,4.0,2.0,7.0,2.0,0.0,0.0,5.0,1.0,' negativ
92,6.0,6.0,6.0,1.0,0.0,0.0,9.0,1.0,' negativ
93,4.0,6.0,7.0,1.0,0.0,0.0,5.0,1.0,' negativ
94,2.0,3.0,7.0,1.0,0.0,0.0,5.0,1.0,' negativ
95,2.0,5.0,5.0,3.0,0.0,0.0,7.0,2.0,' negativ
96,3.0,2.0,6.0,1.0,0.0,0.0,7.0,3.0,' negativ
97,2.0,2.0,6.0,9.0,0.0,0.0,5.0,1.0,' negativ
98,4.0,6.0,8.0,2.0,0.0,0.0,9.0,1.0,' negativ
99,2.0,2.0,6.0,0.0,0.0,0.0,8.0,1.0,' negativ
100,4.0,4.0,4.0,3.0,0.0,0.0,5.0,1.0,' negativ
101,0.0,0.0,6.0,1.0,0.0,0.0,7.0,3.0,' negativ
102,1.0,3.0,7.0,0.0,0.0,0.0,7.0,1.0,' negativ
103,2.0,3.0,5.0,1.0,9.0,0.0,7.0,2.0,' negativ
104,3.0,4.0,5.0,1.0,0.0,0.0,6.0,1.0,' negativ
105,5.0,6.0,6.0,2.0,0.0,0.0,8.0,1.0,' negativ
106,4.0,3.0,7.0,1.0,0.0,0.0,6.0,1.0,' negativ
107,3.0,2.0,6.0,7.0,0.0,0.0,6.0,1.0,' negativ
108,6.0,5.0,6.0,1.0,0.0,0.0,7.0,2.0,' negativ
109,1.0,2.0,6.0,2.0,0.0,0.0,7.0,1.0,' negativ
110,4.0,4.0,6.0,0.0,0.0,0.0,6.0,3.0,' negativ
111,4.0,2.0,5.0,1.0,0.0,0.0,6.0,1.0,' negativ
112,5.0,2.0,6.0,3.0,0.0,0.0,6.0,2.0,' negativ
113,4.0,3.0,5.0,1.0,0.0,0.0,8.0,1.0,' negativ
114,3.0,2.0,7.0,2.0,0.0,0.0,8.0,1.0,' negativ
115,4.0,3.0,5.0,1.0,0.0,0.0,7.0,2.0,' negativ
116,1.0,3.0,6.0,3.0,0.0,0.0,6.0,1.0,' negativ
117,3.0,2.0,5.0,1.0,0.0,0.0,6.0,1.0,' negativ
118,4.0,6.0,7.0,1.0,0.0,0.0,4.0,1.0,' negativ
119,4.0,4.0,7.0,1.0,0.0,0.0,9.0,1.0,' negativ
120,1.0,1.0,7.0,2.0,0.0,0.0,6.0,1.0,' negativ
121,4.0,3.0,7.0,2.0,0.0,0.0,7.0,1.0,' negativ
122,3.0,3.0,6.0,2.0,0.0,0.0,6.0,1.0,' negativ
123,4.0,3.0,7.0,2.0,0.0,0.0,6.0,1.0,' negativ
124,4.0,4.0,7.0,3.0,0.0,0.0,7.0,1.0,' negativ
125,3.0,3.0,5.0,2.0,0.0,0.0,5.0,2.0,' negativ
126,3.0,6.0,5.0,1.0,0.0,0.0,6.0,1.0,' negativ
