@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN1_arff/ecoli-0-2-3-4_vs_5/KBN1ecoli-0-2-3-4_vs_5-5-5tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative'}
@data
0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,' negativ
1,2.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
2,0.0,1.0,1.0,1.0,2.0,0.0,1.0,' negativ
3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
4,0.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
5,0.0,1.0,1.0,1.0,2.0,0.0,1.0,' negativ
6,0.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
7,1.0,0.0,1.0,1.0,2.0,0.0,0.0,' negativ
8,1.0,1.0,1.0,1.0,2.0,0.0,1.0,' negativ
9,0.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
10,1.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
11,1.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
12,0.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
13,0.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
14,1.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
15,1.0,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
16,0.0,0.0,1.0,1.0,1.0,0.0,1.0,' negativ
17,0.0,2.0,1.0,1.0,1.0,0.0,0.0,' negativ
18,1.0,1.0,1.0,1.0,2.0,0.0,0.0,' negativ
19,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
20,0.0,0.0,1.0,1.0,2.0,0.0,0.0,' negativ
21,1.0,1.0,1.0,1.0,1.0,0.0,0.0,' negativ
22,0.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
23,0.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
24,1.0,1.0,1.0,1.0,2.0,1.0,1.0,' negativ
25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
27,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
28,0.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
29,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
30,0.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
31,2.0,2.0,1.0,1.0,2.0,0.0,0.0,' negativ
32,1.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
33,0.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
34,0.0,1.0,1.0,1.0,0.0,1.0,1.0,' negativ
35,2.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
36,0.0,1.0,1.0,1.0,1.0,1.0,0.0,' negativ
37,1.0,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
38,1.0,0.0,1.0,1.0,1.0,0.0,1.0,' negativ
39,1.0,1.0,1.0,1.0,2.0,0.0,1.0,' negativ
40,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
41,0.0,0.0,1.0,1.0,1.0,0.0,0.0,' negativ
42,0.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
43,0.0,2.0,1.0,1.0,1.0,1.0,2.0,' negativ
44,1.0,2.0,1.0,1.0,0.0,0.0,1.0,' negativ
45,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
46,0.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
47,1.0,1.0,1.0,1.0,0.0,1.0,1.0,' negativ
48,1.0,1.0,1.0,1.0,2.0,1.0,1.0,' negativ
49,1.0,2.0,1.0,1.0,0.0,1.0,1.0,' negativ
50,1.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
52,1.0,1.0,1.0,1.0,2.0,1.0,1.0,' negativ
53,0.0,2.0,1.0,1.0,2.0,1.0,2.0,' negativ
54,0.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
55,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
56,0.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
57,1.0,2.0,1.0,1.0,2.0,0.0,1.0,' negativ
58,0.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
59,1.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
60,1.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
61,1.0,2.0,1.0,1.0,1.0,0.0,0.0,' negativ
62,0.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
63,1.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
64,1.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
65,1.0,1.0,1.0,1.0,1.0,0.0,1.0,' negativ
66,0.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,' negativ
68,1.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
69,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
70,0.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
71,0.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
72,1.0,2.0,1.0,1.0,1.0,1.0,1.0,' negativ
73,0.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
74,1.0,2.0,1.0,1.0,0.0,0.0,1.0,' negativ
75,1.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
76,0.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
77,1.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
78,1.0,1.0,1.0,1.0,0.0,1.0,1.0,' negativ
79,1.0,2.0,1.0,1.0,1.0,0.0,1.0,' negativ
80,1.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
81,1.0,0.0,1.0,1.0,2.0,0.0,1.0,' negativ
82,0.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
83,1.0,1.0,1.0,1.0,2.0,0.0,1.0,' negativ
84,1.0,2.0,1.0,1.0,2.0,0.0,1.0,' negativ
85,0.0,1.0,1.0,1.0,1.0,0.0,0.0,' negativ
86,0.0,0.0,1.0,1.0,1.0,1.0,1.0,' negativ
