@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN1_arff/iris0/KBN1iris0-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute Class {' negative'}
@data
0,1.0,1.0,1.0,0.0,' negativ
1,1.0,1.0,1.0,0.0,' negativ
2,1.0,1.0,1.0,0.0,' negativ
3,1.0,2.0,1.0,1.0,' negativ
4,2.0,1.0,1.0,0.0,' negativ
5,1.0,1.0,1.0,0.0,' negativ
6,1.0,1.0,1.0,0.0,' negativ
7,1.0,2.0,1.0,1.0,' negativ
8,0.0,0.0,0.0,0.0,' negativ
9,0.0,1.0,0.0,0.0,' negativ
10,0.0,0.0,0.0,0.0,' negativ
11,1.0,0.0,0.0,0.0,' negativ
12,1.0,1.0,1.0,0.0,' negativ
13,0.0,1.0,0.0,0.0,' negativ
14,1.0,1.0,1.0,0.0,' negativ
15,0.0,1.0,1.0,0.0,' negativ
16,0.0,1.0,0.0,0.0,' negativ
17,0.0,0.0,0.0,0.0,' negativ
18,0.0,1.0,1.0,1.0,' negativ
19,1.0,1.0,0.0,0.0,' negativ
20,1.0,0.0,1.0,0.0,' negativ
21,1.0,1.0,1.0,0.0,' negativ
22,1.0,1.0,1.0,0.0,' negativ
23,1.0,1.0,1.0,1.0,' negativ
24,0.0,0.0,0.0,0.0,' negativ
25,0.0,0.0,0.0,0.0,' negativ
26,0.0,0.0,0.0,0.0,' negativ
27,1.0,1.0,1.0,1.0,' negativ
28,0.0,1.0,1.0,0.0,' negativ
29,1.0,1.0,1.0,0.0,' negativ
30,1.0,0.0,1.0,0.0,' negativ
31,0.0,1.0,0.0,0.0,' negativ
32,0.0,0.0,0.0,0.0,' negativ
33,0.0,0.0,1.0,0.0,' negativ
34,1.0,1.0,1.0,0.0,' negativ
35,0.0,0.0,0.0,0.0,' negativ
36,0.0,1.0,0.0,0.0,' negativ
37,0.0,1.0,0.0,0.0,' negativ
38,0.0,1.0,0.0,0.0,' negativ
39,0.0,1.0,0.0,0.0,' negativ
40,2.0,1.0,2.0,2.0,' negativ
41,1.0,1.0,2.0,1.0,' negativ
42,1.0,1.0,2.0,2.0,' negativ
43,2.0,1.0,2.0,2.0,' negativ
44,0.0,0.0,1.0,1.0,' negativ
45,2.0,1.0,2.0,1.0,' negativ
46,1.0,0.0,2.0,1.0,' negativ
47,2.0,2.0,2.0,2.0,' negativ
48,1.0,1.0,1.0,1.0,' negativ
49,1.0,1.0,2.0,2.0,' negativ
50,0.0,0.0,1.0,1.0,' negativ
51,0.0,1.0,1.0,2.0,' negativ
52,2.0,2.0,2.0,2.0,' negativ
53,2.0,1.0,2.0,1.0,' negativ
54,1.0,1.0,1.0,1.0,' negativ
55,1.0,2.0,2.0,2.0,' negativ
56,1.0,1.0,1.0,1.0,' negativ
57,1.0,1.0,2.0,2.0,' negativ
58,2.0,1.0,2.0,1.0,' negativ
59,2.0,1.0,2.0,1.0,' negativ
60,2.0,2.0,2.0,1.0,' negativ
61,1.0,1.0,2.0,2.0,' negativ
62,1.0,1.0,1.0,0.0,' negativ
63,1.0,0.0,2.0,0.0,' negativ
64,2.0,1.0,2.0,2.0,' negativ
65,1.0,2.0,2.0,2.0,' negativ
66,1.0,1.0,2.0,1.0,' negativ
67,1.0,1.0,1.0,1.0,' negativ
68,1.0,1.0,2.0,2.0,' negativ
69,1.0,1.0,2.0,2.0,' negativ
70,1.0,1.0,2.0,2.0,' negativ
71,1.0,2.0,2.0,2.0,' negativ
72,1.0,1.0,1.0,2.0,' negativ
73,1.0,0.0,1.0,1.0,' negativ
74,1.0,1.0,1.0,1.0,' negativ
75,1.0,2.0,2.0,2.0,' negativ
76,0.0,1.0,1.0,1.0,' negativ
77,1.0,0.0,1.0,0.0,' negativ
78,1.0,1.0,2.0,2.0,' negativ
