@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN1_arff/poker-8-9_vs_6/KBN1poker-8-9_vs_6-5-5tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute Class {' negative'}
@data
0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,' negativ
1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,' negativ
2,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,' negativ
3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,' negativ
4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,' negativ
5,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,' negativ
6,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,' negativ
7,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,' negativ
8,0.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,' negativ
9,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,' negativ
10,0.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,' negativ
11,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,' negativ
12,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,' negativ
13,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,' negativ
14,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,' negativ
15,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,' negativ
16,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,' negativ
17,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,' negativ
18,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,' negativ
19,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,' negativ
20,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,' negativ
21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,' negativ
22,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,' negativ
23,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,' negativ
24,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,' negativ
25,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,' negativ
26,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,' negativ
27,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,' negativ
28,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,' negativ
29,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,' negativ
30,1.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,' negativ
31,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,' negativ
32,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,' negativ
33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,' negativ
34,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,' negativ
35,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,' negativ
36,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,' negativ
37,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,' negativ
38,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,' negativ
39,0.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,' negativ
40,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,' negativ
41,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,' negativ
42,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,' negativ
43,1.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,' negativ
44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,' negativ
45,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,' negativ
46,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,' negativ
47,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,' negativ
48,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,' negativ
49,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,' negativ
50,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,' negativ
51,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,' negativ
52,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,' negativ
53,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,' negativ
54,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,' negativ
55,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,' negativ
56,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,' negativ
57,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,' negativ
58,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,' negativ
59,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,' negativ
60,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,' negativ
61,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,' negativ
62,2.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,' negativ
63,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,' negativ
64,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,' negativ
65,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,' negativ
66,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,' negativ
67,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,' negativ
68,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,' negativ
69,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,' negativ
