@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN2_arff/ecoli-0-6-7_vs_5/KBN2ecoli-0-6-7_vs_5-5-2tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute Class {' negative'}
@data
0,3.0,0.0,1.0,3.0,2.0,2.0,' negativ
1,1.0,1.0,1.0,4.0,1.0,2.0,' negativ
2,1.0,1.0,1.0,3.0,1.0,1.0,' negativ
3,1.0,1.0,1.0,3.0,1.0,2.0,' negativ
4,0.0,2.0,1.0,3.0,3.0,3.0,' negativ
5,2.0,0.0,1.0,4.0,1.0,0.0,' negativ
6,2.0,1.0,1.0,4.0,1.0,2.0,' negativ
7,1.0,2.0,1.0,3.0,1.0,1.0,' negativ
8,2.0,1.0,1.0,3.0,1.0,2.0,' negativ
9,3.0,0.0,1.0,3.0,2.0,2.0,' negativ
10,1.0,2.0,1.0,3.0,0.0,1.0,' negativ
11,2.0,2.0,1.0,2.0,1.0,2.0,' negativ
12,2.0,1.0,1.0,4.0,3.0,3.0,' negativ
13,1.0,0.0,1.0,2.0,1.0,2.0,' negativ
14,2.0,3.0,1.0,2.0,1.0,1.0,' negativ
15,0.0,2.0,1.0,2.0,1.0,0.0,' negativ
16,3.0,3.0,1.0,2.0,2.0,2.0,' negativ
17,0.0,0.0,1.0,4.0,0.0,1.0,' negativ
18,2.0,2.0,1.0,3.0,1.0,1.0,' negativ
19,1.0,1.0,1.0,3.0,2.0,3.0,' negativ
20,1.0,0.0,1.0,3.0,2.0,2.0,' negativ
21,1.0,2.0,1.0,0.0,2.0,2.0,' negativ
22,2.0,1.0,1.0,3.0,2.0,2.0,' negativ
23,2.0,2.0,1.0,3.0,1.0,2.0,' negativ
24,3.0,1.0,1.0,3.0,1.0,2.0,' negativ
25,2.0,1.0,1.0,2.0,2.0,2.0,' negativ
26,3.0,2.0,1.0,2.0,2.0,2.0,' negativ
27,0.0,1.0,1.0,2.0,2.0,2.0,' negativ
28,2.0,3.0,1.0,2.0,2.0,2.0,' negativ
29,1.0,3.0,1.0,2.0,1.0,2.0,' negativ
30,4.0,2.0,1.0,4.0,0.0,0.0,' negativ
31,2.0,2.0,1.0,2.0,1.0,2.0,' negativ
32,2.0,2.0,1.0,3.0,1.0,1.0,' negativ
33,2.0,2.0,1.0,3.0,2.0,2.0,' negativ
34,0.0,0.0,1.0,3.0,2.0,2.0,' negativ
35,4.0,2.0,1.0,3.0,2.0,2.0,' negativ
36,1.0,1.0,1.0,3.0,2.0,0.0,' negativ
37,2.0,1.0,1.0,4.0,3.0,3.0,' negativ
38,2.0,0.0,1.0,2.0,1.0,2.0,' negativ
39,2.0,1.0,1.0,4.0,0.0,1.0,' negativ
40,2.0,3.0,1.0,2.0,2.0,2.0,' negativ
41,1.0,0.0,1.0,3.0,0.0,1.0,' negativ
42,1.0,1.0,1.0,2.0,2.0,2.0,' negativ
43,1.0,3.0,1.0,2.0,3.0,3.0,' negativ
44,3.0,2.0,1.0,1.0,2.0,2.0,' negativ
45,0.0,1.0,1.0,3.0,2.0,2.0,' negativ
46,2.0,1.0,1.0,0.0,2.0,2.0,' negativ
47,2.0,1.0,1.0,4.0,2.0,2.0,' negativ
48,2.0,3.0,1.0,0.0,3.0,3.0,' negativ
49,3.0,1.0,1.0,2.0,1.0,2.0,' negativ
50,2.0,2.0,1.0,3.0,3.0,3.0,' negativ
51,1.0,0.0,1.0,3.0,1.0,2.0,' negativ
52,3.0,1.0,1.0,3.0,2.0,2.0,' negativ
53,1.0,1.0,1.0,2.0,2.0,2.0,' negativ
54,3.0,3.0,1.0,2.0,3.0,3.0,' negativ
55,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
56,2.0,2.0,1.0,4.0,0.0,3.0,' negativ
57,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
58,2.0,2.0,1.0,3.0,1.0,2.0,' negativ
59,2.0,0.0,1.0,2.0,2.0,2.0,' negativ
60,2.0,2.0,1.0,2.0,1.0,0.0,' negativ
61,1.0,2.0,1.0,2.0,1.0,2.0,' negativ
62,3.0,2.0,1.0,3.0,1.0,2.0,' negativ
63,2.0,1.0,1.0,2.0,1.0,2.0,' negativ
64,1.0,2.0,1.0,3.0,2.0,2.0,' negativ
65,2.0,1.0,1.0,2.0,2.0,2.0,' negativ
66,2.0,2.0,1.0,3.0,1.0,2.0,' negativ
67,1.0,2.0,1.0,2.0,1.0,1.0,' negativ
68,2.0,3.0,1.0,4.0,1.0,2.0,' negativ
69,0.0,2.0,1.0,3.0,3.0,3.0,' negativ
70,3.0,2.0,1.0,2.0,2.0,2.0,' negativ
71,3.0,2.0,1.0,1.0,1.0,2.0,' negativ
72,2.0,2.0,1.0,3.0,2.0,2.0,' negativ
73,2.0,2.0,1.0,0.0,1.0,1.0,' negativ
74,0.0,2.0,1.0,2.0,1.0,1.0,' negativ
75,1.0,2.0,1.0,1.0,1.0,2.0,' negativ
76,4.0,4.0,1.0,3.0,2.0,2.0,' negativ
77,4.0,3.0,1.0,2.0,2.0,1.0,' negativ
78,3.0,2.0,1.0,4.0,1.0,2.0,' negativ
79,2.0,0.0,1.0,4.0,1.0,2.0,' negativ
80,2.0,1.0,1.0,4.0,0.0,1.0,' negativ
81,2.0,2.0,1.0,3.0,1.0,1.0,' negativ
82,1.0,1.0,1.0,2.0,0.0,0.0,' negativ
83,1.0,0.0,1.0,3.0,2.0,2.0,' negativ
84,2.0,1.0,1.0,2.0,3.0,3.0,' negativ
85,2.0,1.0,1.0,0.0,0.0,0.0,' negativ
86,2.0,1.0,1.0,3.0,0.0,1.0,' negativ
87,2.0,2.0,1.0,2.0,0.0,1.0,' negativ
88,2.0,2.0,1.0,4.0,0.0,1.0,' negativ
89,2.0,2.0,1.0,2.0,2.0,2.0,' negativ
90,3.0,2.0,1.0,3.0,0.0,1.0,' negativ
91,1.0,2.0,1.0,2.0,2.0,0.0,' negativ
92,1.0,1.0,1.0,0.0,2.0,0.0,' negativ
93,1.0,1.0,1.0,2.0,2.0,2.0,' negativ
94,1.0,2.0,1.0,3.0,1.0,1.0,' negativ
95,0.0,1.0,1.0,2.0,1.0,2.0,' negativ
96,4.0,1.0,1.0,3.0,2.0,2.0,' negativ
97,1.0,1.0,1.0,3.0,1.0,1.0,' negativ
98,0.0,2.0,1.0,2.0,2.0,2.0,' negativ
99,1.0,1.0,1.0,2.0,1.0,2.0,' negativ
100,2.0,2.0,1.0,2.0,2.0,2.0,' negativ
101,0.0,1.0,1.0,2.0,3.0,3.0,' negativ
102,2.0,1.0,1.0,2.0,2.0,2.0,' negativ
103,1.0,0.0,1.0,4.0,1.0,2.0,' negativ
