@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN2_arff/yeast-0-3-5-9_vs_7-8/KBN2yeast-0-3-5-9_vs_7-8-5-1tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative'}
@data
0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,' negativ
1,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
2,2.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,' negativ
3,2.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,' negativ
4,3.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,' negativ
5,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
6,2.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,' negativ
7,3.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
8,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
9,2.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,' negativ
10,1.0,2.0,2.0,4.0,0.0,0.0,3.0,0.0,' negativ
11,1.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,' negativ
12,3.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
13,1.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,' negativ
14,2.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,' negativ
15,3.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,' negativ
16,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
17,2.0,2.0,3.0,3.0,0.0,0.0,4.0,0.0,' negativ
18,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,' negativ
19,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,' negativ
20,3.0,3.0,1.0,1.0,0.0,0.0,4.0,0.0,' negativ
21,4.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,' negativ
22,2.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,' negativ
23,1.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,' negativ
24,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,' negativ
25,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,' negativ
26,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,' negativ
27,2.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,' negativ
28,3.0,2.0,3.0,2.0,0.0,0.0,3.0,0.0,' negativ
29,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
30,1.0,3.0,2.0,3.0,0.0,0.0,3.0,0.0,' negativ
31,3.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,' negativ
32,1.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
33,3.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,' negativ
34,3.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
35,2.0,2.0,3.0,2.0,0.0,0.0,2.0,1.0,' negativ
36,3.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,' negativ
37,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,' negativ
38,2.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
39,1.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,' negativ
40,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,' negativ
41,2.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,' negativ
42,2.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,' negativ
43,2.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,' negativ
44,2.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,' negativ
45,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,' negativ
46,2.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
47,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
48,1.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,' negativ
49,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,' negativ
50,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,' negativ
51,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,' negativ
52,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
53,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,' negativ
54,1.0,3.0,2.0,3.0,0.0,0.0,3.0,2.0,' negativ
55,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,' negativ
56,1.0,3.0,3.0,4.0,0.0,0.0,3.0,2.0,' negativ
57,3.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,' negativ
58,2.0,2.0,2.0,3.0,0.0,0.0,3.0,0.0,' negativ
59,1.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,' negativ
60,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
61,1.0,2.0,3.0,4.0,0.0,0.0,3.0,0.0,' negativ
62,1.0,1.0,3.0,4.0,0.0,0.0,2.0,1.0,' negativ
63,2.0,3.0,2.0,3.0,0.0,0.0,3.0,1.0,' negativ
64,2.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
65,1.0,2.0,3.0,4.0,0.0,0.0,3.0,0.0,' negativ
66,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,' negativ
67,2.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,' negativ
68,1.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,' negativ
69,3.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
70,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,' negativ
71,1.0,3.0,4.0,2.0,0.0,0.0,1.0,0.0,' negativ
72,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,' negativ
73,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,' negativ
74,2.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,' negativ
75,2.0,2.0,3.0,3.0,0.0,0.0,2.0,2.0,' negativ
76,1.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,' negativ
77,2.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
78,3.0,2.0,3.0,4.0,0.0,0.0,2.0,1.0,' negativ
79,2.0,2.0,3.0,4.0,0.0,0.0,2.0,0.0,' negativ
80,1.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,' negativ
81,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,' negativ
82,1.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,' negativ
83,2.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,' negativ
84,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
85,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,' negativ
86,2.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0,' negativ
87,3.0,2.0,3.0,2.0,0.0,0.0,4.0,1.0,' negativ
88,1.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,' negativ
89,1.0,3.0,2.0,4.0,0.0,0.0,3.0,2.0,' negativ
90,3.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,' negativ
91,0.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,' negativ
92,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,' negativ
93,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,' negativ
94,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,' negativ
95,2.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,' negativ
96,2.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,' negativ
97,3.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,' negativ
98,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,' negativ
99,1.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,' negativ
100,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,' negativ
101,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,' negativ
102,3.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
103,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,' negativ
104,0.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,' negativ
105,2.0,2.0,4.0,1.0,0.0,0.0,2.0,0.0,' negativ
