@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/abalone-17_vs_7-8-9-10/KBN3abalone-17_vs_7-8-9-10-5-4tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative'}
@data
0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,' negativ
1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,' negativ
2,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
3,3.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,' negativ
4,3.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,' negativ
5,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,' negativ
6,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,' negativ
7,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
8,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
9,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
10,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,' negativ
11,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' negativ
12,3.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,' negativ
13,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
14,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
15,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' negativ
16,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,' negativ
17,3.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,' negativ
18,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
19,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,' negativ
20,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,' negativ
21,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,' negativ
22,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
23,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,' negativ
