@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/ecoli-0-2-6-7_vs_3-5/KBN3ecoli-0-2-6-7_vs_3-5-5-5tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute Class {' negative',' positive'}
@data
0,6.0,0.0,1.0,1.0,3.0,4.0,5.0,' negativ
1,3.0,4.0,1.0,1.0,2.0,3.0,5.0,' negativ
2,2.0,0.0,1.0,1.0,2.0,4.0,5.0,' negativ
3,6.0,3.0,1.0,1.0,3.0,3.0,5.0,' negativ
4,0.0,3.0,1.0,1.0,5.0,5.0,7.0,' negativ
5,3.0,3.0,1.0,1.0,0.0,4.0,6.0,' negativ
6,7.0,4.0,1.0,1.0,4.0,5.0,6.0,' negativ
7,5.0,3.0,1.0,1.0,5.0,7.0,8.0,' negativ
8,2.0,3.0,1.0,1.0,3.0,4.0,6.0,' negativ
9,2.0,3.0,1.0,1.0,2.0,5.0,6.0,' negativ
10,2.0,6.0,1.0,1.0,2.0,7.0,8.0,' negativ
11,1.0,0.0,1.0,1.0,3.0,3.0,5.0,' negativ
12,6.0,6.0,1.0,1.0,3.0,6.0,7.0,' negativ
13,3.0,2.0,1.0,1.0,3.0,5.0,6.0,' negativ
14,0.0,5.0,1.0,1.0,4.0,6.0,7.0,' negativ
15,6.0,4.0,1.0,1.0,1.0,4.0,5.0,' negativ
16,3.0,5.0,1.0,1.0,4.0,5.0,6.0,' negativ
17,0.0,4.0,1.0,1.0,2.0,4.0,3.0,' negativ
18,0.0,4.0,1.0,1.0,2.0,3.0,4.0,' negativ
19,7.0,8.0,1.0,1.0,3.0,5.0,5.0,' negativ
20,6.0,6.0,1.0,1.0,2.0,4.0,4.0,' negativ
21,7.0,6.0,1.0,1.0,2.0,5.0,4.0,' negativ
22,3.0,5.0,1.0,1.0,5.0,2.0,4.0,' negativ
23,5.0,4.0,1.0,1.0,4.0,0.0,1.0,' negativ
24,4.0,0.0,1.0,1.0,3.0,4.0,5.0,' negativ
25,3.0,4.0,1.0,1.0,3.0,5.0,6.0,' negativ
26,0.0,2.0,1.0,1.0,3.0,4.0,5.0,' negativ
27,3.0,3.0,1.0,1.0,3.0,3.0,4.0,' negativ
28,0.0,5.0,1.0,1.0,3.0,5.0,6.0,' negativ
29,0.0,3.0,1.0,1.0,3.0,2.0,1.0,' negativ
30,0.0,4.0,1.0,1.0,5.0,3.0,4.0,' negativ
31,5.0,3.0,1.0,1.0,3.0,7.0,8.0,' negativ
32,9.0,6.0,1.0,1.0,5.0,7.0,5.0,' negativ
33,7.0,5.0,0.0,1.0,5.0,8.0,5.0,' negativ
34,8.0,9.0,1.0,1.0,1.0,7.0,3.0,' negativ
35,8.0,7.0,1.0,1.0,0.0,5.0,3.0,' negativ
36,8.0,1.0,1.0,1.0,3.0,8.0,3.0,' negativ
37,8.0,6.0,1.0,1.0,3.0,6.0,7.0,' negativ
38,8.0,6.0,1.0,1.0,4.0,5.0,4.0,' negativ
39,0.0,3.0,0.0,1.0,4.0,9.0,9.0,' positiv
40,7.0,8.0,1.0,1.0,4.0,4.0,4.0,' positiv
41,8.0,8.0,1.0,1.0,8.0,8.0,1.0,' positiv
42,9.0,6.0,1.0,1.0,9.0,7.0,0.0,' positiv
43,8.0,6.0,0.0,0.0,0.0,6.0,1.0,' positiv
44,9.0,7.0,1.0,1.0,8.0,1.0,4.0,' positiv
45,7.0,7.0,1.0,1.0,6.0,5.0,4.0,' positiv
46,7.0,9.0,1.0,1.0,7.0,1.0,3.0,' positiv
47,7.0,9.0,1.0,1.0,7.0,7.0,5.0,' positiv
48,8.0,1.0,1.0,1.0,5.0,7.0,4.0,' positiv
49,8.0,9.0,1.0,1.0,9.0,8.0,4.0,' positiv
50,8.0,8.0,1.0,1.0,7.0,7.0,2.0,' positiv
51,7.0,8.0,1.0,1.0,8.0,6.0,3.0,' positiv
52,6.0,7.0,1.0,1.0,7.0,5.0,6.0,' positiv
53,7.0,5.0,1.0,1.0,6.0,7.0,4.0,' positiv
54,6.0,9.0,1.0,1.0,7.0,5.0,5.0,' positiv
55,7.0,6.0,1.0,1.0,0.0,4.0,3.0,' positiv
56,0.0,8.0,0.0,1.0,7.0,8.0,7.0,' positiv
57,8.0,6.0,1.0,1.0,7.0,5.0,3.0,' positiv
58,7.0,5.0,1.0,1.0,7.0,6.0,4.0,' positiv
59,8.0,7.0,1.0,1.0,6.0,6.0,5.0,' positiv
60,7.0,7.0,1.0,1.0,7.0,1.0,1.0,' positiv
