@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/glass5/KBN3glass5-5-2tra.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative'}
@data
0,2.0,4.0,6.0,2.0,6.0,6.0,3.0,0.0,0.0,' negativ
1,4.0,4.0,7.0,1.0,3.0,2.0,4.0,0.0,0.0,' negativ
2,4.0,6.0,6.0,2.0,3.0,2.0,4.0,0.0,0.0,' negativ
3,2.0,4.0,6.0,2.0,6.0,5.0,2.0,0.0,0.0,' negativ
4,3.0,6.0,7.0,2.0,3.0,1.0,3.0,0.0,0.0,' negativ
5,2.0,4.0,6.0,3.0,5.0,5.0,2.0,0.0,0.0,' negativ
6,3.0,5.0,6.0,2.0,3.0,5.0,3.0,0.0,0.0,' negativ
7,0.0,4.0,6.0,2.0,6.0,5.0,2.0,0.0,7.0,' negativ
8,3.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,0.0,' negativ
9,2.0,6.0,6.0,3.0,5.0,5.0,2.0,0.0,0.0,' negativ
10,2.0,3.0,6.0,2.0,6.0,5.0,3.0,0.0,0.0,' negativ
11,4.0,6.0,7.0,1.0,3.0,3.0,4.0,0.0,0.0,' negativ
12,2.0,3.0,6.0,2.0,6.0,5.0,2.0,0.0,0.0,' negativ
13,3.0,7.0,6.0,3.0,3.0,5.0,2.0,0.0,0.0,' negativ
14,2.0,3.0,7.0,2.0,6.0,5.0,3.0,0.0,0.0,' negativ
15,2.0,3.0,6.0,3.0,6.0,5.0,3.0,0.0,0.0,' negativ
16,2.0,3.0,6.0,3.0,6.0,5.0,3.0,0.0,0.0,' negativ
17,2.0,3.0,6.0,2.0,6.0,6.0,3.0,0.0,0.0,' negativ
18,3.0,4.0,5.0,2.0,5.0,5.0,3.0,0.0,0.0,' negativ
19,4.0,4.0,7.0,1.0,4.0,3.0,4.0,0.0,5.0,' negativ
20,1.0,3.0,6.0,4.0,6.0,6.0,2.0,0.0,6.0,' negativ
21,2.0,4.0,6.0,4.0,5.0,5.0,2.0,0.0,3.0,' negativ
22,2.0,4.0,6.0,3.0,5.0,5.0,3.0,0.0,0.0,' negativ
23,2.0,5.0,7.0,2.0,6.0,5.0,2.0,0.0,0.0,' negativ
24,4.0,4.0,7.0,1.0,4.0,3.0,4.0,0.0,5.0,' negativ
25,2.0,5.0,6.0,2.0,6.0,5.0,2.0,0.0,0.0,' negativ
26,1.0,3.0,6.0,4.0,6.0,6.0,2.0,0.0,6.0,' negativ
27,2.0,3.0,6.0,3.0,6.0,5.0,2.0,0.0,0.0,' negativ
28,3.0,4.0,6.0,2.0,5.0,5.0,3.0,0.0,5.0,' negativ
29,4.0,5.0,7.0,1.0,3.0,3.0,4.0,0.0,4.0,' negativ
30,2.0,4.0,6.0,3.0,6.0,5.0,2.0,0.0,4.0,' negativ
31,2.0,3.0,6.0,2.0,6.0,5.0,2.0,0.0,0.0,' negativ
32,2.0,3.0,6.0,3.0,7.0,5.0,3.0,0.0,3.0,' negativ
33,5.0,6.0,7.0,0.0,3.0,2.0,5.0,0.0,5.0,' negativ
34,5.0,5.0,6.0,1.0,3.0,2.0,4.0,0.0,2.0,' negativ
35,4.0,6.0,8.0,2.0,3.0,1.0,3.0,0.0,0.0,' negativ
36,2.0,3.0,6.0,3.0,5.0,5.0,3.0,0.0,5.0,' negativ
37,4.0,7.0,7.0,0.0,3.0,2.0,4.0,0.0,0.0,' negativ
38,6.0,6.0,7.0,1.0,2.0,0.0,4.0,0.0,4.0,' negativ
39,3.0,4.0,6.0,2.0,4.0,5.0,3.0,0.0,4.0,' negativ
40,4.0,5.0,7.0,1.0,3.0,3.0,4.0,0.0,3.0,' negativ
41,1.0,5.0,6.0,3.0,6.0,4.0,2.0,0.0,0.0,' negativ
42,2.0,3.0,6.0,2.0,6.0,5.0,3.0,0.0,0.0,' negativ
43,2.0,3.0,6.0,3.0,6.0,5.0,3.0,0.0,0.0,' negativ
44,2.0,3.0,6.0,3.0,6.0,6.0,3.0,0.0,0.0,' negativ
45,2.0,5.0,5.0,2.0,5.0,5.0,3.0,0.0,0.0,' negativ
46,2.0,5.0,6.0,2.0,6.0,5.0,2.0,0.0,0.0,' negativ
47,2.0,3.0,6.0,2.0,6.0,5.0,2.0,0.0,5.0,' negativ
48,2.0,3.0,6.0,2.0,5.0,5.0,3.0,0.0,0.0,' negativ
49,2.0,2.0,5.0,2.0,7.0,5.0,3.0,0.0,6.0,' negativ
50,3.0,6.0,6.0,2.0,5.0,3.0,3.0,0.0,0.0,' negativ
51,1.0,5.0,6.0,2.0,5.0,5.0,3.0,0.0,0.0,' negativ
52,4.0,7.0,7.0,1.0,2.0,0.0,4.0,0.0,0.0,' negativ
53,3.0,8.0,7.0,0.0,3.0,1.0,3.0,0.0,0.0,' negativ
54,2.0,4.0,5.0,2.0,6.0,5.0,3.0,0.0,8.0,' negativ
