@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/glass6/KBN3glass6-5-3tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative',' positive'}
@data
0,5.0,4.0,5.0,1.0,3.0,2.0,6.0,0.0,0.0,' negativ
1,3.0,4.0,5.0,2.0,5.0,4.0,3.0,0.0,3.0,' negativ
2,3.0,4.0,5.0,1.0,6.0,4.0,3.0,0.0,0.0,' negativ
3,4.0,6.0,5.0,2.0,4.0,1.0,4.0,0.0,0.0,' negativ
4,1.0,3.0,4.0,2.0,5.0,4.0,3.0,0.0,5.0,' negativ
5,3.0,3.0,5.0,2.0,6.0,4.0,4.0,0.0,0.0,' negativ
6,2.0,3.0,5.0,3.0,5.0,5.0,3.0,0.0,4.0,' negativ
7,3.0,4.0,5.0,2.0,6.0,4.0,3.0,0.0,0.0,' negativ
8,3.0,3.0,4.0,2.0,6.0,4.0,3.0,0.0,0.0,' negativ
9,6.0,5.0,5.0,0.0,3.0,1.0,6.0,0.0,3.0,' negativ
10,5.0,6.0,5.0,0.0,3.0,2.0,5.0,0.0,0.0,' negativ
11,5.0,5.0,5.0,1.0,3.0,2.0,5.0,0.0,2.0,' negativ
12,2.0,5.0,4.0,3.0,5.0,3.0,3.0,0.0,0.0,' negativ
13,3.0,4.0,5.0,2.0,6.0,4.0,3.0,0.0,0.0,' negativ
14,3.0,3.0,5.0,2.0,5.0,4.0,4.0,0.0,0.0,' negativ
15,3.0,3.0,4.0,4.0,5.0,5.0,3.0,0.0,0.0,' negativ
16,4.0,5.0,5.0,2.0,4.0,4.0,3.0,0.0,3.0,' negativ
17,2.0,3.0,4.0,3.0,7.0,3.0,3.0,0.0,0.0,' negativ
18,3.0,2.0,4.0,2.0,7.0,4.0,4.0,0.0,4.0,' negativ
19,4.0,3.0,3.0,1.0,7.0,3.0,5.0,0.0,4.0,' negativ
20,4.0,4.0,5.0,2.0,4.0,4.0,3.0,0.0,0.0,' negativ
21,2.0,5.0,4.0,3.0,5.0,5.0,3.0,0.0,2.0,' negativ
22,7.0,0.0,0.0,1.0,6.0,0.0,7.0,0.0,0.0,' negativ
23,3.0,4.0,4.0,3.0,5.0,4.0,3.0,0.0,0.0,' negativ
24,2.0,8.0,5.0,4.0,3.0,2.0,2.0,0.0,3.0,' negativ
25,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,' negativ
26,4.0,3.0,5.0,2.0,4.0,5.0,4.0,0.0,4.0,' negativ
27,8.0,2.0,0.0,1.0,0.0,2.0,8.0,0.0,4.0,' negativ
28,2.0,4.0,4.0,3.0,6.0,3.0,3.0,0.0,0.0,' negativ
29,5.0,5.0,2.0,4.0,4.0,4.0,5.0,1.0,3.0,' negativ
30,3.0,3.0,4.0,3.0,6.0,5.0,3.0,0.0,0.0,' negativ
31,3.0,5.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,' negativ
32,5.0,6.0,5.0,1.0,2.0,2.0,5.0,0.0,6.0,' negativ
33,3.0,3.0,5.0,2.0,5.0,4.0,4.0,0.0,0.0,' negativ
34,2.0,6.0,3.0,9.0,0.0,6.0,1.0,6.0,0.0,' negativ
35,1.0,3.0,0.0,8.0,1.0,8.0,2.0,0.0,0.0,' negativ
36,2.0,1.0,0.0,2.0,8.0,7.0,4.0,0.0,0.0,' positiv
37,2.0,7.0,0.0,7.0,5.0,0.0,5.0,1.0,0.0,' positiv
38,2.0,7.0,0.0,5.0,7.0,0.0,4.0,5.0,0.0,' positiv
39,2.0,8.0,0.0,6.0,7.0,0.0,3.0,1.0,0.0,' positiv
40,3.0,8.0,0.0,5.0,7.0,0.0,3.0,5.0,0.0,' positiv
41,2.0,6.0,0.0,7.0,5.0,1.0,5.0,3.0,0.0,' positiv
42,2.0,6.0,1.0,4.0,6.0,0.0,4.0,2.0,0.0,' positiv
43,2.0,8.0,0.0,6.0,7.0,0.0,3.0,2.0,0.0,' positiv
44,5.0,8.0,2.0,5.0,0.0,5.0,5.0,0.0,0.0,' positiv
45,5.0,7.0,0.0,5.0,7.0,0.0,3.0,5.0,0.0,' positiv
46,0.0,5.0,4.0,4.0,5.0,6.0,0.0,4.0,0.0,' positiv
47,2.0,6.0,0.0,6.0,6.0,2.0,5.0,2.0,1.0,' positiv
48,6.0,5.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,' positiv
49,2.0,6.0,0.0,7.0,7.0,1.0,5.0,2.0,2.0,' positiv
50,3.0,7.0,0.0,5.0,6.0,0.0,4.0,5.0,2.0,' positiv
51,2.0,8.0,0.0,4.0,6.0,0.0,4.0,4.0,0.0,' positiv
52,3.0,8.0,0.0,5.0,6.0,0.0,4.0,5.0,2.0,' positiv
