@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/shuttle-c2-vs-c4/KBN3shuttle-c2-vs-c4-5-4tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute Class {' negative',' positive'}
@data
0,6.0,7.0,5.0,9.0,7.0,6.0,1.0,1.0,3.0,' negativ
1,6.0,5.0,5.0,0.0,7.0,6.0,0.0,1.0,3.0,' negativ
2,4.0,7.0,2.0,5.0,0.0,1.0,2.0,9.0,9.0,' negativ
3,4.0,7.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0,' negativ
4,4.0,7.0,2.0,7.0,1.0,7.0,2.0,9.0,9.0,' negativ
5,4.0,7.0,3.0,4.0,4.0,6.0,1.0,5.0,5.0,' negativ
6,4.0,5.0,2.0,1.0,1.0,6.0,2.0,9.0,9.0,' negativ
7,6.0,7.0,5.0,8.0,7.0,6.0,1.0,1.0,3.0,' negativ
8,4.0,6.0,3.0,4.0,4.0,6.0,1.0,4.0,5.0,' negativ
9,3.0,7.0,1.0,4.0,1.0,6.0,2.0,8.0,8.0,' negativ
10,3.0,7.0,1.0,2.0,1.0,6.0,2.0,8.0,8.0,' negativ
11,4.0,7.0,3.0,4.0,4.0,3.0,1.0,5.0,5.0,' negativ
12,3.0,7.0,1.0,2.0,0.0,6.0,2.0,9.0,8.0,' negativ
13,7.0,7.0,6.0,3.0,7.0,9.0,0.0,1.0,3.0,' negativ
14,4.0,8.0,2.0,4.0,2.0,6.0,2.0,7.0,7.0,' negativ
15,7.0,7.0,6.0,7.0,7.0,6.0,0.0,1.0,3.0,' negativ
16,4.0,7.0,3.0,0.0,4.0,6.0,1.0,5.0,5.0,' negativ
17,6.0,7.0,4.0,4.0,7.0,8.0,0.0,0.0,2.0,' negativ
18,6.0,7.0,4.0,4.0,7.0,7.0,0.0,0.0,2.0,' negativ
19,4.0,6.0,2.0,4.0,3.0,6.0,2.0,6.0,6.0,' negativ
20,6.0,8.0,5.0,6.0,7.0,6.0,0.0,1.0,3.0,' negativ
21,3.0,7.0,1.0,5.0,0.0,6.0,2.0,8.0,8.0,' negativ
22,4.0,7.0,3.0,4.0,4.0,3.0,1.0,4.0,5.0,' negativ
23,4.0,7.0,3.0,4.0,4.0,4.0,1.0,5.0,5.0,' negativ
24,6.0,7.0,5.0,4.0,7.0,6.0,0.0,1.0,3.0,' negativ
25,5.0,3.0,6.0,4.0,6.0,0.0,3.0,2.0,2.0,' positiv
26,2.0,4.0,6.0,4.0,6.0,4.0,5.0,2.0,0.0,' positiv
27,2.0,4.0,6.0,4.0,6.0,2.0,5.0,2.0,1.0,' positiv
28,0.0,0.0,0.0,4.0,5.0,6.0,6.0,3.0,1.0,' positiv
29,1.0,2.0,0.0,4.0,4.0,6.0,4.0,4.0,4.0,' positiv
