@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/yeast-1-4-5-8_vs_7/KBN3yeast-1-4-5-8_vs_7-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,5.0,4.0,6.0,0.0,0.0,0.0,5.0,1.0,' negativ
1,4.0,2.0,7.0,1.0,0.0,0.0,4.0,0.0,' negativ
2,4.0,3.0,6.0,3.0,0.0,0.0,5.0,3.0,' negativ
3,4.0,5.0,8.0,3.0,0.0,0.0,5.0,2.0,' negativ
4,1.0,1.0,7.0,1.0,0.0,0.0,4.0,5.0,' negativ
5,3.0,2.0,6.0,1.0,0.0,0.0,5.0,1.0,' negativ
6,2.0,7.0,4.0,1.0,0.0,0.0,5.0,1.0,' negativ
7,3.0,5.0,5.0,0.0,0.0,0.0,5.0,4.0,' negativ
8,2.0,1.0,7.0,3.0,0.0,0.0,5.0,2.0,' negativ
9,2.0,4.0,6.0,6.0,0.0,0.0,5.0,2.0,' negativ
10,5.0,6.0,5.0,1.0,0.0,0.0,5.0,3.0,' negativ
11,4.0,3.0,5.0,8.0,0.0,0.0,4.0,6.0,' negativ
12,5.0,6.0,6.0,1.0,0.0,0.0,7.0,7.0,' negativ
13,1.0,5.0,5.0,4.0,0.0,0.0,4.0,1.0,' negativ
14,3.0,5.0,6.0,0.0,0.0,0.0,4.0,1.0,' negativ
15,4.0,6.0,7.0,0.0,0.0,0.0,5.0,1.0,' negativ
16,2.0,2.0,7.0,2.0,0.0,0.0,3.0,0.0,' negativ
17,5.0,6.0,4.0,1.0,0.0,0.0,5.0,3.0,' negativ
18,5.0,5.0,6.0,1.0,0.0,0.0,4.0,2.0,' negativ
19,1.0,7.0,5.0,2.0,0.0,0.0,4.0,2.0,' negativ
20,3.0,5.0,6.0,4.0,0.0,0.0,5.0,0.0,' negativ
21,3.0,3.0,4.0,0.0,0.0,0.0,4.0,3.0,' negativ
22,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,' negativ
23,5.0,3.0,7.0,0.0,0.0,0.0,5.0,2.0,' negativ
24,3.0,2.0,5.0,1.0,0.0,0.0,4.0,0.0,' negativ
25,4.0,6.0,6.0,3.0,0.0,0.0,5.0,2.0,' negativ
26,0.0,3.0,9.0,0.0,0.0,0.0,4.0,1.0,' negativ
27,3.0,2.0,8.0,0.0,0.0,0.0,4.0,1.0,' negativ
28,1.0,5.0,7.0,1.0,0.0,0.0,8.0,1.0,' negativ
29,9.0,5.0,8.0,1.0,0.0,0.0,4.0,0.0,' negativ
30,5.0,5.0,7.0,1.0,0.0,0.0,2.0,0.0,' negativ
31,3.0,3.0,5.0,0.0,0.0,0.0,4.0,7.0,' negativ
32,6.0,4.0,7.0,3.0,0.0,0.0,7.0,1.0,' negativ
33,4.0,4.0,7.0,2.0,0.0,0.0,3.0,0.0,' negativ
34,5.0,5.0,4.0,1.0,0.0,0.0,5.0,1.0,' negativ
35,4.0,8.0,6.0,0.0,0.0,0.0,7.0,0.0,' negativ
36,5.0,5.0,7.0,2.0,0.0,0.0,5.0,1.0,' negativ
37,6.0,3.0,6.0,1.0,0.0,0.0,4.0,0.0,' negativ
38,2.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,' negativ
39,2.0,2.0,7.0,1.0,0.0,0.0,4.0,2.0,' negativ
40,2.0,0.0,6.0,0.0,1.0,0.0,5.0,4.0,' negativ
41,3.0,0.0,8.0,0.0,0.0,0.0,5.0,1.0,' negativ
42,2.0,1.0,5.0,4.0,0.0,0.0,4.0,6.0,' negativ
43,2.0,1.0,6.0,0.0,0.0,0.0,5.0,8.0,' negativ
44,5.0,6.0,6.0,0.0,0.0,0.0,4.0,0.0,' negativ
45,6.0,5.0,6.0,0.0,0.0,0.0,5.0,0.0,' negativ
46,5.0,1.0,8.0,0.0,0.0,0.0,4.0,2.0,' negativ
47,4.0,7.0,5.0,2.0,0.0,0.0,3.0,0.0,' negativ
48,3.0,2.0,7.0,1.0,0.0,0.0,4.0,0.0,' negativ
49,5.0,5.0,7.0,1.0,0.0,0.0,5.0,0.0,' negativ
50,2.0,6.0,5.0,2.0,0.0,0.0,5.0,0.0,' negativ
51,2.0,3.0,6.0,2.0,0.0,0.0,4.0,1.0,' negativ
52,5.0,4.0,8.0,2.0,0.0,0.0,5.0,0.0,' negativ
53,2.0,1.0,6.0,0.0,0.0,0.0,7.0,1.0,' negativ
54,5.0,6.0,6.0,1.0,0.0,0.0,5.0,2.0,' negativ
55,5.0,6.0,6.0,0.0,0.0,0.0,4.0,4.0,' negativ
56,3.0,4.0,7.0,0.0,0.0,0.0,5.0,1.0,' negativ
57,3.0,3.0,7.0,3.0,0.0,0.0,3.0,0.0,' negativ
58,3.0,1.0,5.0,1.0,0.0,0.0,6.0,2.0,' negativ
59,2.0,4.0,5.0,0.0,0.0,0.0,4.0,1.0,' negativ
60,5.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,' negativ
61,2.0,1.0,7.0,2.0,0.0,0.0,4.0,3.0,' negativ
62,3.0,3.0,8.0,2.0,0.0,0.0,5.0,1.0,' negativ
63,2.0,4.0,9.0,4.0,0.0,0.0,6.0,6.0,' negativ
64,7.0,5.0,8.0,2.0,0.0,0.0,5.0,0.0,' negativ
65,4.0,6.0,6.0,4.0,0.0,0.0,5.0,4.0,' negativ
66,3.0,3.0,9.0,0.0,0.0,0.0,4.0,1.0,' negativ
67,6.0,7.0,6.0,1.0,0.0,0.0,4.0,7.0,' negativ
68,5.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,' negativ
69,3.0,3.0,8.0,1.0,0.0,0.0,5.0,6.0,' negativ
70,5.0,1.0,9.0,1.0,0.0,0.0,4.0,1.0,' negativ
71,3.0,3.0,6.0,1.0,0.0,0.0,4.0,5.0,' negativ
72,2.0,3.0,5.0,1.0,0.0,0.0,4.0,1.0,' negativ
73,3.0,4.0,4.0,0.0,0.0,0.0,5.0,4.0,' negativ
74,4.0,5.0,4.0,1.0,0.0,0.0,7.0,0.0,' negativ
75,1.0,3.0,4.0,1.0,0.0,0.0,4.0,3.0,' negativ
76,1.0,3.0,5.0,0.0,0.0,0.0,6.0,7.0,' negativ
77,3.0,5.0,7.0,1.0,0.0,0.0,5.0,2.0,' negativ
78,5.0,4.0,8.0,0.0,0.0,0.0,5.0,1.0,' negativ
79,4.0,5.0,6.0,7.0,0.0,0.0,5.0,1.0,' negativ
80,4.0,5.0,5.0,4.0,0.0,0.0,5.0,2.0,' negativ
81,3.0,3.0,5.0,1.0,0.0,0.0,5.0,2.0,' negativ
82,7.0,8.0,7.0,5.0,0.0,0.0,3.0,2.0,' negativ
83,7.0,6.0,3.0,2.0,0.0,0.0,5.0,0.0,' negativ
84,9.0,8.0,7.0,5.0,0.0,0.0,6.0,0.0,' negativ
85,8.0,9.0,1.0,4.0,0.0,0.0,5.0,0.0,' negativ
86,9.0,9.0,8.0,6.0,0.0,0.0,6.0,0.0,' negativ
87,5.0,9.0,3.0,4.0,0.0,0.0,6.0,1.0,' negativ
88,9.0,8.0,0.0,5.0,0.0,0.0,2.0,0.0,' negativ
89,5.0,5.0,4.0,1.0,0.0,0.0,6.0,0.0,' negativ
90,8.0,8.0,6.0,3.0,0.0,0.0,5.0,0.0,' negativ
91,8.0,6.0,2.0,4.0,0.0,0.0,8.0,1.0,' negativ
92,7.0,5.0,5.0,2.0,0.0,0.0,1.0,2.0,' negativ
93,7.0,6.0,3.0,2.0,0.0,0.0,5.0,1.0,' negativ
94,5.0,5.0,1.0,3.0,0.0,0.0,6.0,0.0,' negativ
95,2.0,4.0,4.0,0.0,0.0,0.0,6.0,0.0,' negativ
96,3.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,' negativ
97,1.0,5.0,1.0,2.0,0.0,0.0,5.0,0.0,' negativ
98,2.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,' negativ
99,2.0,3.0,0.0,2.0,0.0,0.0,5.0,0.0,' negativ
100,4.0,5.0,2.0,1.0,0.0,0.0,5.0,4.0,' negativ
101,3.0,5.0,3.0,1.0,0.0,0.0,5.0,1.0,' negativ
102,4.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,' negativ
103,2.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,' negativ
104,3.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,' negativ
105,2.0,2.0,5.0,1.0,0.0,0.0,3.0,1.0,' negativ
106,3.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,' negativ
107,4.0,4.0,3.0,5.0,0.0,0.0,5.0,0.0,' negativ
