@relation ./ML-assignments/Assignment6/databases_disc/databases_KBN3_arff/yeast1/KBN3yeast1-5-1tst.dat

@attribute  numeric
@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute Class {' negative',' positive'}
@data
0,3.0,2.0,5.0,2.0,0.0,0.0,7.0,3.0,' positiv
1,6.0,2.0,3.0,5.0,0.0,0.0,8.0,2.0,' negativ
2,4.0,2.0,4.0,2.0,0.0,0.0,7.0,2.0,' positiv
3,4.0,4.0,3.0,6.0,0.0,0.0,8.0,2.0,' negativ
4,5.0,3.0,5.0,2.0,0.0,0.0,7.0,2.0,' negativ
5,6.0,6.0,4.0,2.0,0.0,0.0,7.0,2.0,' negativ
6,3.0,5.0,5.0,0.0,0.0,0.0,8.0,4.0,' negativ
7,8.0,5.0,2.0,3.0,0.0,0.0,9.0,2.0,' negativ
8,4.0,2.0,3.0,2.0,0.0,0.0,7.0,2.0,' negativ
9,4.0,3.0,4.0,5.0,0.0,0.0,8.0,3.0,' positiv
10,6.0,5.0,3.0,0.0,0.0,0.0,7.0,2.0,' negativ
11,3.0,4.0,4.0,2.0,0.0,0.0,7.0,2.0,' negativ
12,3.0,3.0,5.0,2.0,0.0,0.0,9.0,2.0,' positiv
13,8.0,8.0,3.0,4.0,0.0,0.0,8.0,2.0,' negativ
14,7.0,5.0,2.0,5.0,0.0,1.0,7.0,2.0,' negativ
15,1.0,5.0,0.0,1.0,0.0,0.0,7.0,2.0,' negativ
16,3.0,3.0,1.0,1.0,0.0,0.0,8.0,2.0,' negativ
17,8.0,6.0,2.0,3.0,0.0,0.0,7.0,2.0,' negativ
18,2.0,3.0,5.0,5.0,0.0,0.0,7.0,3.0,' negativ
19,8.0,7.0,2.0,3.0,0.0,0.0,8.0,2.0,' negativ
20,4.0,4.0,3.0,4.0,0.0,0.0,5.0,2.0,' negativ
21,6.0,6.0,3.0,1.0,0.0,0.0,9.0,2.0,' negativ
22,4.0,4.0,3.0,1.0,0.0,0.0,7.0,9.0,' positiv
23,4.0,3.0,3.0,7.0,0.0,0.0,7.0,2.0,' negativ
24,6.0,5.0,0.0,3.0,0.0,0.0,7.0,2.0,' negativ
25,4.0,6.0,4.0,1.0,0.0,0.0,6.0,2.0,' negativ
26,2.0,5.0,4.0,1.0,0.0,0.0,7.0,2.0,' positiv
27,3.0,2.0,4.0,1.0,0.0,0.0,8.0,4.0,' negativ
28,2.0,6.0,2.0,1.0,0.0,0.0,8.0,2.0,' positiv
29,4.0,3.0,4.0,1.0,0.0,0.0,6.0,2.0,' positiv
30,7.0,5.0,3.0,5.0,0.0,0.0,9.0,2.0,' negativ
31,3.0,3.0,7.0,2.0,0.0,0.0,8.0,3.0,' negativ
32,1.0,4.0,1.0,3.0,0.0,0.0,7.0,2.0,' negativ
